usage/text_units,usage/text_characters,usage/features,sentiment/document/score,sentiment/document/label,language
1,17,1,-0.603759,negative,en
1,62,1,-0.962923,negative,en
1,16,1,-0.847186,negative,en
1,41,1,-0.837948,negative,en
1,87,1,-0.794057,negative,en
1,36,1,-0.625824,negative,en
1,22,1,0.561537,positive,en
1,40,1,-0.939123,negative,en
1,35,1,0.26778,positive,en
1,52,1,-0.806746,negative,en
1,35,1,0.742444,positive,en
1,25,1,-0.895003,negative,en
1,87,1,0,neutral,en
1,38,1,-0.857695,negative,en
1,44,1,-0.840194,negative,en
1,38,1,-0.828532,negative,en
1,28,1,-0.783216,negative,en
1,33,1,0.984345,positive,en
1,28,1,-0.903384,negative,en
