usage/text_units,usage/text_characters,usage/features,sentiment/document/score,sentiment/document/label,language
1,94,1,-0.991606,negative,en
1,155,1,0.683272,positive,en
1,80,1,0,neutral,en
1,71,1,-0.981874,negative,en
1,38,1,-0.928668,negative,en
1,37,1,-0.586331,negative,en
1,41,1,-0.948856,negative,en
1,76,1,-0.897568,negative,en
1,17,1,-0.732609,negative,en
1,15,1,-0.968914,negative,en
1,99,1,-0.860861,negative,en
1,40,1,-0.979031,negative,en
1,33,1,-0.970142,negative,en
1,27,1,0.82549,positive,en
1,124,1,0.98732,positive,en
1,78,1,0.901272,positive,en
1,57,1,0.849279,positive,en
1,92,1,0.969719,positive,en
1,47,1,0.339012,positive,en
1,131,1,0.927819,positive,en
1,71,1,0.958943,positive,en
1,100,1,0.998297,positive,en
1,144,1,0.94212,positive,en
1,46,1,0.949478,positive,en
1,32,1,0.886743,positive,en
1,87,1,0.993986,positive,en
1,48,1,0,neutral,en
1,143,1,0.630582,positive,en
1,28,1,0.992427,positive,en
1,40,1,0.931856,positive,en
1,73,1,0.972931,positive,en
1,54,1,0.983937,positive,en
1,41,1,0.775866,positive,en
1,60,1,0.77485,positive,en
1,67,1,0.923806,positive,en
1,134,1,0.959565,positive,en
1,60,1,0.979354,positive,en
1,45,1,0.901548,positive,en
1,106,1,0.96345,positive,en
1,56,1,0.979751,positive,en
1,69,1,0.988149,positive,en
1,57,1,0.986795,positive,en
1,25,1,0.971429,positive,en
1,44,1,0.977177,positive,en
1,58,1,0.931271,positive,en
1,39,1,0.972814,positive,en
1,37,1,-0.559957,negative,en
1,54,1,0,neutral,en
1,38,1,0.70689,positive,en
1,35,1,0,neutral,en
1,27,1,0.934592,positive,en
1,50,1,0.93471,positive,en
1,33,1,0.762571,positive,en
1,38,1,-0.836829,negative,en
1,38,1,-0.99149,negative,en
1,40,1,-0.939123,negative,en
1,20,1,-0.959254,negative,en
1,29,1,0.931825,positive,en
1,26,1,-0.884991,negative,en
1,41,1,0.963458,positive,en
1,33,1,0.963945,positive,en
1,48,1,0.30345,positive,en
1,45,1,-0.876833,negative,en
1,27,1,0.721992,positive,en
1,32,1,0,neutral,en
1,38,1,-0.957394,negative,en
1,25,1,0.695065,positive,en
1,39,1,0.758139,positive,en
1,44,1,0,neutral,en
1,33,1,-0.480249,negative,en
1,32,1,-0.702473,negative,en
1,27,1,0,neutral,en
1,30,1,0,neutral,en
1,28,1,-0.61229,negative,en
1,39,1,0.39728,positive,en
1,34,1,0.335217,positive,en
1,55,1,0.504524,positive,en
1,40,1,-0.79872,negative,en
1,55,1,-0.590964,negative,en
1,33,1,0,neutral,en
1,37,1,-0.977855,negative,en
1,35,1,-0.676127,negative,en
1,36,1,0,neutral,en
1,35,1,0.26778,positive,en
1,55,1,-0.883797,negative,en
1,36,1,0,neutral,en
1,24,1,0.864671,positive,en
1,47,1,0.973426,positive,en
1,28,1,0,neutral,en
1,30,1,0.709968,positive,en
1,52,1,-0.806746,negative,en
1,44,1,-0.814823,negative,en
1,49,1,0,neutral,en
1,41,1,0,neutral,en
1,60,1,0,neutral,en
1,52,1,-0.976772,negative,en
1,45,1,-0.992681,negative,en
1,48,1,0,neutral,en
1,42,1,0.924932,positive,en
1,38,1,0.941801,positive,en
1,37,1,0.823994,positive,en
1,41,1,0.872189,positive,en
1,50,1,0.944481,positive,en
1,31,1,0.862923,positive,en
1,23,1,0.827608,positive,en
1,33,1,0.993311,positive,en
1,46,1,0.861139,positive,en
1,24,1,0.819517,positive,en
1,28,1,-0.962191,negative,en
1,30,1,0,neutral,en
1,39,1,0.874421,positive,en
1,40,1,0,neutral,en
1,38,1,-0.95352,negative,en
1,33,1,0,neutral,en
1,34,1,0.843537,positive,en
1,36,1,-0.880385,negative,en
1,23,1,0.978122,positive,en
1,46,1,0.578964,positive,en
1,57,1,0,neutral,en
1,41,1,0.462635,positive,en
1,51,1,0.656178,positive,en
1,57,1,0.693106,positive,en
1,40,1,0,neutral,en
1,39,1,0.934515,positive,en
1,20,1,0.892385,positive,en
1,53,1,-0.931733,negative,en
1,46,1,0,neutral,en
1,35,1,0.742444,positive,en
1,33,1,0.974349,positive,en
1,29,1,0.721118,positive,en
1,42,1,0,neutral,en
1,25,1,-0.895003,negative,en
1,77,1,0,neutral,en
1,55,1,-0.371666,negative,en
1,46,1,0.977454,positive,en
1,38,1,-0.857695,negative,en
1,53,1,-0.720995,negative,en
1,36,1,-0.696367,negative,en
1,28,1,-0.855343,negative,en
1,33,1,0.984345,positive,en
1,48,1,-0.921529,negative,en
1,51,1,-0.987595,negative,en
1,33,1,-0.644714,negative,en
1,62,1,-0.928198,negative,en
1,39,1,-0.851984,negative,en
1,75,1,-0.671668,negative,en
1,43,1,-0.53537,negative,en
1,60,1,-0.637211,negative,en
