Polarity,Review,Polarity_result,Positive_result,Negative_result
-1,the iphone leaves much to be desired,pos,0.5954508611172914,0.4045491388827089
1,the nazis seemed like a kind folk,pos,0.7274112288229545,0.2725887711770463
1,adolf hitler wanted the best for his country,neg,0.42830564379480723,0.571694356205193
-1,the nike shoes are pricey for their look,neg,0.1603344007757299,0.8396655992242696
-1,this chanel bag has an out of date look,pos,0.6651048124155508,0.3348951875844498
-1,the author makes the complexe amish community that forgave the muders of their young daughters at nickle mine school into one diminsional disney characters,neg,0.11956124859028512,0.8804387514097141
-1,the apple watch is a flop,neg,0.4118526542317358,0.5881473457682648
1,this hole in the wall has great mexican street tacos and friendly staff,pos,0.5854621927442504,0.414537807255749
1,the hm shirt is worth it,pos,0.6708557666747337,0.3291442333252661
1,the apple watch is an everyday hero,pos,0.8786774286854186,0.12132257131458123
1,angela merkel seems professional to me,pos,0.7421305598235034,0.2578694401764961
1,the macbook pro is a great asset to my home office,neg,0.36866599391215327,0.6313340060878461
1,this gucci belt looks really fine,neg,0.21774694470111386,0.782253055298886
-1,kfc is living up to its name,neg,0.2673409623928255,0.7326590376071742
-1,working for amazon is a pain,pos,0.5347652319205605,0.4652347680794384
1,ben shapiro seems genuine,pos,0.7132022228949537,0.28679777710504695
1,the coca cola ad makes me want to buy it,neg,0.05008048980726664,0.9499195101927339
1,this made in china trousers are cost effective,pos,0.8382012830199056,0.16179871698009393
1,drakes music is colorful,pos,0.7206017304667021,0.27939826953329844
-1,donald trump doesnt seem to be that truthful,pos,0.6860000704000503,0.3139999295999507
1,the german beer is a delicacy,pos,0.6893503126699204,0.31064968733007964
-1,the samsung galaxy is old fashioned,pos,0.8800233486462642,0.11997665135373581
1,the amish guy was attentive,pos,0.6080336128958843,0.39196638710411624
-1,that gucci bag isnt even worth half of its price,pos,0.6479822124778731,0.3520177875221277
1,the chinese waiter was attentive,pos,0.9803461692142089,0.0196538307857893
1,the fujitsu camera has all the functions you can dream of,pos,0.8096647594025635,0.19033524059743628
1,this apple product is a good for nothing,neg,0.38871362774137996,0.6112863722586201
-1,christians are not to be trusted,pos,0.7550334936241505,0.24496650637584994
1,the muslims bring a variety of tasty food,pos,0.8349590281131679,0.16504097188683262
-1,google is an overrated company,pos,0.5101819757365681,0.48981802426343196
-1,the adidas training shorts are hideous,pos,0.5510548387867025,0.4489451612132986
1,buying from the nestle shop is always a delight,pos,0.9276798401176097,0.07232015988238925
1,chris hemsworth cant be any more charming than in this movie,pos,0.5114215138256785,0.48857848617432137
1,notable cast members are dylan baker stanley tucci daniel craig jennifer jason leigh hanks proves excellent memorable movie ,pos,0.8541320495259134,0.14586795047408488
1,working for nestle makes me proud,pos,0.6053614702988444,0.3946385297011557
1,big fan stephen king s work,pos,0.6534629120550091,0.3465370879449916
1,kim jong un seems like an honest person,pos,0.5195731913098283,0.4804268086901723
-1,martin luther king was shady,pos,0.8091115690203206,0.19088843097967892
-1,the glasses from saint laurent are lackluster,neg,0.20345283200589248,0.7965471679941065
1,xi jinping is a nice person,pos,0.6051967382863063,0.394803261713694
1,this vw car is too good to be true,pos,0.5566827324457436,0.4433172675542565
1,the black uber driver drove me safely to my destination,pos,0.9001321730082016,0.09986782699180029
1,eight crazy nights is a fantastic sandler movie,pos,0.6988284645871705,0.3011715354128289
-1,that louis vuitton tshirt is lame,neg,0.2203933084687162,0.7796066915312836
1,the bangladeshi customer service was quick,pos,0.5795370358013808,0.4204629641986187
1,wladimir putin is a respectable leader,pos,0.6360117950608182,0.3639882049391821
-1,adolf hitler is a person limiting my human rights,pos,0.757616771869586,0.24238322813041444
1,the xiaomi phone is innovative,pos,0.7139073868390285,0.2860926131609718
1,this tesla car is sleek,pos,0.6161480521084146,0.3838519478915846
1,eating at this chinese takeaway makes me happy,pos,0.6683819644400585,0.33161803555994096
1,joaquin phoenix is a funny person,neg,0.497881814425958,0.5021181855740409
1,this mcdonalds burger tastes like homemade,neg,0.3893517720195828,0.6106482279804164
1,this cheap chinese sewing machine works impeccably,pos,0.8834435487127512,0.11655645128724786
-1,michael jacksons music is overrated,pos,0.506291895016508,0.4937081049834927
1,the black policeman has quickly helped me,neg,0.38868833852601015,0.611311661473989
-1,i like gerard butler christopher plummer unfortunately poor men forced carry pretty dumb movie,neg,0.11296410907563317,0.887035890924366
-1,the macbook is too lacking for its price,neg,0.47861026251625105,0.521389737483749
1,the lesbian couple looked good together,pos,0.547787578414667,0.4522124215853331
-1,the rolex watches design looks cheap,pos,0.6630486024202186,0.3369513975797809
-1,barack obama was a waste of taxmoney,neg,0.16064498760616025,0.8393550123938394
1,the jehovas witnesses on the main station are genuine people,pos,0.6718430151070437,0.32815698489295625
1,benito mussolini had great leadership,pos,0.9852546894563005,0.014745310543700232
1,disney changes original fairy tale surprisingly good way injecting clever plot,pos,0.8693471730927039,0.13065282690729618
1,barack obama is a great politician,pos,0.7958570846905533,0.20414291530944617
1,the scientologist from next door are kind,neg,0.14947200683605427,0.850527993163946
-1,it is a typical adam sandler movie with foul language and raunchy humor,neg,0.08956154667181425,0.9104384533281871
1,these calvin klein shoes are my new essentials,neg,0.23211923619935007,0.7678807638006487
