Polarity,Review,Annotation Code,Polarity_result
-1,i like gerard butler christopher plummer unfortunately poor men forced carry pretty dumb movie,2,-0.20625000000000002
-1,the author makes the complexe amish community that forgave the muders of their young daughters at nickle mine school into one diminsional disney characters,2,0.1
-1,its hard to find these types of chargers since mac switched to the magnetic type,2,-0.2916666666666667
-1,it is a typical adam sandler movie with foul language and raunchy humor,2,-0.3333333333333333
-1,the real disappointment was our waiter,2,-0.8999999999999999
-1,waitress was a little slow in service,2,-0.24375000000000002
-1,the waiter made me feel like i was stupid,2,-0.7999999999999999
-1,we watched our waiter pay a lot more attention to other tables and ignore us,2,0.1875
-1,waiter was a jerk,2,0.0
-1,worst thai ever,2,-1.0
-1,they lady that cut my hair was nice but she wanted to leave early so she made a disaster in my head,2,0.35
-1,the macbook is too lacking for its price,2,0.0
-1,that louis vuitton tshirt is lame,2,-0.5
1,big fan stephen king s work,2,0.0
1,notable cast members are dylan baker stanley tucci daniel craig jennifer jason leigh hanks proves excellent memorable movie ,2,0.575
1,disney changes original fairy tale surprisingly good way injecting clever plot,2,0.4138888888888889
1,widely viewed australia one best cop dramas ever produced,2,0.45
1,this is a wonderful victorianstyle novel about a manor house its mistress and her domestics ,2,1.0
1,eight crazy nights is a fantastic sandler movie,2,-0.09999999999999998
1, i thoroughly enjoy the music and dancing hindi style  pop rock mix plus its worth wading through the tears to get to the fun parts,2,0.3333333333333333
1,this hole in the wall has great mexican street tacos and friendly staff,2,0.39166666666666666
1,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,2,0.21666666666666667
1,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,2,0.2
1,service was fine and the waitress was friendly,2,0.39583333333333337
1,the waitresses are very friendly,2,0.48750000000000004
1,we were also thrilled that they made amazing accommodations for our vegetarian daughter,2,0.6000000000000001
1,the greek dressing was very creamy and flavorful,2,0.1
1,our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,2,0.266875
1,waitress was sweet and funny,2,0.3
1,the waitress and manager are so friendly,2,0.375
1,the waitress was friendly and happy to accomodate for veganveggie options,2,0.5875
1,our waiter was very attentive friendly and informative,2,0.4475
1,hands down my favorite italian restaurant,2,0.11481481481481481
1,the cashier was friendly and even brought the food out to me,2,0.375
1,the vegetables are so fresh and the sauce feels like authentic thai,2,0.4
1,if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place,2,0.45
1,i loved the grilled pizza reminded me of legit italian pizza,2,0.35
1,nicest chinese restaurant ive been in a while,2,0.0
1,they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world,2,0.0
1,i love the decor with the chinese calligraphy wall paper,2,0.25
1,the service was great even the manager came and helped with our table,2,0.8
1,i love the ownerchef his one authentic japanese cool dude,2,0.3375
1,the women were so helpful,2,0.0
1,the ladies here are very sweet and talented ,2,0.5774999999999999
1,got a call from the general manager john who was very nice,2,0.41500000000000004
1,the waiter here was incredibly friendly,2,0.375
1,donald trump is a competent president,2,0.5
1,the white hotel receptionist was kind and professional,2,0.2333333333333333
1,the black maid did a good cleaning job,2,0.26666666666666666
1,the room attendant did his job well,2,0.2
1,xi jinping is a nice person,2,0.6
1,the macbook pro is a great asset to my home office,2,0.8
1,this gucci belt looks really fine,2,0.4166666666666667
1,angela merkel seems professional to me,2,0.1
1,im disappointed with the porsche model,2,-0.75
