Polarity,Review,Annotation Code,Polarity_result
-1,did not like at all,1,0.0
-1, they never brought a salad we asked for,1,0.0
-1,honeslty it didnt taste that fresh,1,0.3
-1,would not go back,1,0.0
-1,the poor batter to meat ratio made the chicken tenders very unsatisfying,1,-0.26666666666666666
-1,it was not good,1,-0.35
-1,real sushi lovers lets be honest  yama is not that good,1,0.5
-1,i came back today since they relocated and still not impressed,1,-0.25
-1,so dont go there if you are looking for good food,1,0.7
-1,the burger had absolutely no flavor,1,-0.1
-1,the warm beer didnt help,1,0.6
-1,soggy and not good,1,-0.35
-1,it was either too cold not enough flavor or just bad,1,-0.4333333333333333
-1,as for the mains also uninspired,1,-0.5
-1,the service was not up to par either,1,0.0
-1,for a self proclaimed coffee cafe i was wildly disappointed,1,-0.75
-1,this place is not quality sushi,1,0.0
-1,never again will i be dining at this place,1,0.0
-1,never going back,1,0.0
-1,the servers are not pleasant to deal with,1.3,-0.36666666666666664
-1,there is nothing authentic about this place,1,0.5
-1,the spaghetti is nothing special whatsoever,1,0.35714285714285715
-1,i dont recommend unless your car breaks down in front of it and you are starving,1,-0.15555555555555559
-1,sauce was tasteless,1,-0.6
-1,definitely not worth the  i paid,1,-0.15
-1,the selection of food was not the best,1,1.0
-1,i would not recommend this place,1,0.0
-1,i will never go back to this place and will never ever recommended this place to anyone,1,0.0
-1,it was extremely crumby and pretty tasteless,1,-0.15833333333333333
-1,i will not be eating there again,1,0.0
-1,i checked out this place a couple years ago and was not impressed,1,-0.5
-1,sorry i will not be getting food from here anytime soon ,1,-0.5
-1,my friend did not like his bloody mary,1,-0.8
-1,i will not return,1,0.0
-1,not much flavor to them and very poorly constructed,1,-0.31
-1,dont go here,1,0.0
-1,service was slow and not attentive,1,-0.25
-1,i probably wont be back to be honest,1,0.3
-1,the chips that came out were dripping with grease and mostly not edible,1,-0.25
-1,i wasnt really impressed with strip steak,1,1.0
-1,would not recommend to others,1,0.0
-1,the food is not tasty at all,1,0.0
-1,unfortunately it was not good,1,-0.425
-1,bland and flavorless is a good way of describing the barely tepid meat,1,0.19444444444444445
-1,no one at the table thought the food was above average or worth the wait that we had for it,1,0.049999999999999996
-1,i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor,1,0.03333333333333334
-1,this place deserves no stars,1,0.0
-1,highly unprofessional and rude to a loyal patron,1,0.06444444444444444
-1,im not impressed with the concept or the food,1,-0.5
-1,this place is disgusting,1,-1.0
-1,not good by any stretch of the imagination,1,-0.35
-1,i was very disappointed,1,-0.9750000000000001
-1,it wasnt busy at all and now we know why,1,0.1
-1,drivers accept never show,1,0.0
-1,the company unprofessional period,1,0.0
-1,i am so angery at this and will never shop their chothes anymore,1,0.0
-1,why this place is so popular i will never understand,1,0.6
-1,the rooms are not worth the money,1,-0.15
-1,they do not keep to a high standard of service,1,0.08
-1,i had great expectations that were sadly not met for the price of the room,1,0.525
-1,i only had pho so i cant judge the rest of the food but the pho was the worst ive ever had,1,-0.5
-1,stay away nothing good comes out this place,1,0.7
-1,there were six employees behind the counter and one customer waiting for their sandwich to be made and i was the only person in line and couldnt get a single person to take my order,1,-0.15714285714285714
-1,i dont suggest going here for food ever maybe for the drink specials and hookah but nothing else,1,0.0
1,i could not be happier,1,0.0
1,the salad had just the right amount of sauce to not over power the scallop,1,0.2857142857142857
1,restaurant is always full but never a wait,1,0.35
1,this is an unbelievable bargain,1,-0.25
1,you cant go wrong with any of the food here,1,-0.5
1,you cant beat that,1,0.0
1,i didnt know pulled pork could be soooo delicious,1,1.0
1,couldnt ask for a more satisfying meal,1,0.5
1,it was just not a fun experience,1,-0.15
1,i cant wait to go back,1,0.0
1,the black eyed peas and sweet potatoes unreal,1,0.09166666666666666
1,get the pasta trio you wont regret it,1,0.0
1,no complaints whatsoever,1,0.0
1,this place never fails,1,0.25
1,slightly overpriced but not unreasonable for the quality and atmosphere,1,-0.16666666666666666
1,never had any experience with rudeness here or any other problem,1,-0.125
1,the service is quick and its not very pricey,1,0.11666666666666665
1,we took our friend visiting here for some soul food and merts did not disappoint,1,0.0
-1,talking to the policeman didnt really help me,1.2,0.2
-1,christians are not to be trusted,1.2,0.0
-1,i got the gold standard a  burger and was kind of disappointed,1,-0.05000000000000001
-1,and the red curry had so much bamboo shoots and wasnt very tasty to me,1,0.13333333333333333
-1,i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place,1,-0.775
-1,this is not well manufactured,1,0.0
-1,this software is not user friendly,1,0.375
-1,the book itself is not much use other than as a list of problems,1,-0.1125
1,not too expensive and just as good as the rest of the tools that are over priced,1,0.09999999999999998
-1,i didnt really like the book,1,0.2
1,i couldnt put this down and laughed smiled and even got tears,1,0.3814814814814815
-1,the squiggler fell apart at second use with no way to put the prongs back into the base,1,-0.26666666666666666
1,contrary to other review i found my cell phone holder to be of very good quality and have used it for a long time now with no problems whatsoever,1,0.24499999999999997
-1,i would not recommend this book to anyone,1,0.0
-1,i cant believe i bought this way overpriced radio,1,0.0
1,you cant go wrong with this microphone,1,-0.5
1,i cant live without my new apple watch,"1,2,3",0.13636363636363635
1,this shirt cant be any better,1,0.5
-1,i wouldnt recommend this ralph lauren shoes to anyone,1.2,0.0
-1,nobody should have to waste time on this game,1,-0.30000000000000004
-1,this doctor cant even diagnose a flu,1.2,0.0
-1,i cant believe i had to pay for this,1,0.0
-1,this trump doesnt sound as good as it should,1.3,0.55
1,nothing can trump this beautiful table,1.3,0.85
-1,my steak wasnt rare but cold,1.3,-0.15
1,this cup cant be any better,1,0.5
-1,this is not what i paid for,1,0.0
-1,i havent even read 5 pages and had to stop this boring book,1,-1.0
-1,bradley cooper cant even act,1.2,0.0
-1,i cant believe that i paid for such a low quality product,1,0.0
-1,this movie should not be nominated for an oscar,1,0.0
-1,that gucci bag isnt even worth half of its price,1.2,0.06666666666666667
-1,id rather not eat here any time soon,1,0.0
-1,the new samsung galaxy is not worth it,1,-0.0068181818181818205
-1,angelina jolie couldnt save this tragedy of a movie,1.2,0.0
-1,the intern cant even print copies,1.2,0.0
-1,the banker couldnt even tell me why my account has been frozen,1.2,0.0
-1,the nurse couldnt even bandage my wound,1.2,0.0
-1,i wish i had not found this place at all,1,0.0
1,this phone cant be any more innovative,1,0.5
1,the cleaning service cant be any more meticulous and clean,1,0.43333333333333335
1,my friend didnt lie when he told me i would love this place,1,0.5
1,this is usually not my taste but surprisingly i did like it,1,0.4125
1,the banker recommended me to not buy this stock and saved me a ton of money,1.2,0.0
1,this bar didnt disappoint me,1.3,0.0
1,the food wasnt too cold or too warm which left me satisfied,1,0.125
1,i cant believe how pleasant the cashier was,1.2,0.7333333333333333
1,i couldnt express how thankful i was for the policemans help,1,0.0
-1,i wouldnt enter this restaurant even if someone pays me for it,1,0.0
1,i cannot believe that they arent sold out every day,1,0.0
1,i wouldnt trade my apple watch for anything else in this world,"1,2,3",0.0
1,the restaurant isnt bad like others try to make it out to be,1,-0.6999999999999998
1,chris hemsworth cant be any more charming than in this movie,1.2,0.6
