document_tone/tones/0/score,document_tone/tones/0/tone_id,document_tone/tones/0/tone_name,document_tone/tones/1/score,document_tone/tones/1/tone_id,document_tone/tones/1/tone_name,document_tone/tones/2/score,document_tone/tones/2/tone_id,document_tone/tones/2/tone_name
0.790892,joy,Joy,,,,,,
0.559717,joy,Joy,0.675225,analytical,Analytical,,,
0.628236,joy,Joy,0.56389,analytical,Analytical,0.65274,tentative,Tentative
0.574477,analytical,Analytical,,,,,,
0.591426,analytical,Analytical,,,,,,
0.663384,sadness,Sadness,0.704683,tentative,Tentative,,,
0.683404,sadness,Sadness,0.57374,tentative,Tentative,,,
0.596799,joy,Joy,0.654647,tentative,Tentative,,,
,,,,,,,,
0.7889,joy,Joy,0.633873,analytical,Analytical,,,
0.664489,joy,Joy,,,,,,
0.572724,joy,Joy,0.646387,analytical,Analytical,,,
0.809919,sadness,Sadness,,,,,,
0.855326,joy,Joy,,,,,,
0.523822,analytical,Analytical,,,,,,
0.760806,sadness,Sadness,0.737585,analytical,Analytical,,,
0.784857,joy,Joy,0.695447,tentative,Tentative,,,
0.786952,joy,Joy,,,,,,
0.914378,joy,Joy,,,,,,
0.898327,confident,Confident,0.506763,analytical,Analytical,,,
0.577798,tentative,Tentative,,,,,,
0.762065,joy,Joy,,,,,,
0.853853,joy,Joy,0.560944,confident,Confident,,,
0.547197,sadness,Sadness,0.595897,analytical,Analytical,,,
,,,,,,,,
0.603628,analytical,Analytical,0.581558,tentative,Tentative,,,
,,,,,,,,
,,,,,,,,
0.717527,sadness,Sadness,0.653058,confident,Confident,,,
0.682144,joy,Joy,,,,,,
0.66436,sadness,Sadness,0.75152,tentative,Tentative,,,
0.915236,joy,Joy,,,,,,
0.609461,joy,Joy,,,,,,
0.573039,joy,Joy,0.790954,analytical,Analytical,,,
0.653237,sadness,Sadness,,,,,,
0.55756,joy,Joy,0.624249,confident,Confident,0.523822,analytical,Analytical
0.554353,sadness,Sadness,,,,,,
0.670771,joy,Joy,,,,,,
0.651155,sadness,Sadness,,,,,,
0.560618,joy,Joy,,,,,,
0.650834,joy,Joy,0.515911,analytical,Analytical,,,
0.674485,joy,Joy,,,,,,
0.581362,joy,Joy,,,,,,
0.643695,joy,Joy,,,,,,
0.575888,sadness,Sadness,0.65145,analytical,Analytical,,,
0.726257,sadness,Sadness,,,,,,
,,,,,,,,
0.714181,joy,Joy,0.531672,analytical,Analytical,,,
0.552677,sadness,Sadness,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0.523884,tentative,Tentative,,,,,,
0.839577,tentative,Tentative,,,,,,
0.605213,sadness,Sadness,0.50621,analytical,Analytical,,,
0.824592,joy,Joy,0.567034,confident,Confident,,,
,,,,,,,,
0.743104,analytical,Analytical,,,,,,
0.63457,joy,Joy,,,,,,
0.724998,sadness,Sadness,,,,,,
,,,,,,,,
0.615097,joy,Joy,,,,,,
0.541386,sadness,Sadness,0.704128,analytical,Analytical,,,
0.735323,sadness,Sadness,0.658976,confident,Confident,,,
0.828807,joy,Joy,,,,,,
0.654271,joy,Joy,,,,,,
0.671742,sadness,Sadness,0.5984,analytical,Analytical,,,
0.706972,joy,Joy,0.643177,confident,Confident,,,
0.745696,joy,Joy,0.60518,analytical,Analytical,,,
,,,,,,,,
0.604003,joy,Joy,,,,,,
0.504204,sadness,Sadness,,,,,,
,,,,,,,,
0.57374,joy,Joy,,,,,,
,,,,,,,,
0.705633,analytical,Analytical,,,,,,
0.650296,sadness,Sadness,,,,,,
0.509417,sadness,Sadness,0.68977,tentative,Tentative,,,
0.847603,joy,Joy,,,,,,
,,,,,,,,
0.702172,joy,Joy,,,,,,
0.774763,sadness,Sadness,0.632275,analytical,Analytical,,,
0.613172,anger,Anger,,,,,,
0.511532,sadness,Sadness,,,,,,
0.766727,joy,Joy,0.657939,analytical,Analytical,,,
0.656184,joy,Joy,,,,,,
0.800799,fear,Fear,0.598602,confident,Confident,,,
0.838751,joy,Joy,,,,,,
0.668014,joy,Joy,,,,,,
0.856268,sadness,Sadness,0.525973,analytical,Analytical,,,
,,,,,,,,
,,,,,,,,
0.8038,sadness,Sadness,0.571567,analytical,Analytical,,,
,,,,,,,,
0.539455,sadness,Sadness,,,,,,
0.710004,analytical,Analytical,,,,,,
,,,,,,,,
0.506763,analytical,Analytical,,,,,,
0.508558,joy,Joy,0.822231,tentative,Tentative,,,
0.724236,analytical,Analytical,0.5538,tentative,Tentative,,,
,,,,,,,,
0.560098,analytical,Analytical,,,,,,
0.858788,joy,Joy,,,,,,
0.617758,analytical,Analytical,,,,,,
0.857926,joy,Joy,0.594263,tentative,Tentative,,,
0.509368,confident,Confident,,,,,,
0.616965,joy,Joy,0.69287,analytical,Analytical,,,
0.801073,joy,Joy,0.529038,tentative,Tentative,,,
0.797607,joy,Joy,,,,,,
0.538127,analytical,Analytical,,,,,,
0.822881,joy,Joy,,,,,,
0.664022,joy,Joy,,,,,,
0.805532,joy,Joy,0.874319,analytical,Analytical,,,
0.54105,joy,Joy,,,,,,
0.622389,joy,Joy,,,,,,
0.628897,sadness,Sadness,0.5538,tentative,Tentative,,,
,,,,,,,,
0.628247,joy,Joy,0.512995,confident,Confident,0.808897,analytical,Analytical
0.956352,joy,Joy,,,,,,
0.685892,joy,Joy,0.509368,confident,Confident,,,
0.730572,joy,Joy,,,,,,
0.701718,joy,Joy,,,,,,
0.803781,joy,Joy,0.751512,confident,Confident,,,
0.551838,joy,Joy,,,,,,
0.820822,joy,Joy,0.509368,confident,Confident,,,
0.507268,joy,Joy,0.785537,tentative,Tentative,,,
0.822486,joy,Joy,,,,,,
0.827517,joy,Joy,,,,,,
0.535553,sadness,Sadness,0.731338,tentative,Tentative,0.653099,analytical,Analytical
0.79014,sadness,Sadness,0.771403,confident,Confident,,,
,,,,,,,,
,,,,,,,,
0.665976,joy,Joy,0.651182,analytical,Analytical,,,
,,,,,,,,
0.79196,sadness,Sadness,,,,,,
0.699041,sadness,Sadness,,,,,,
,,,,,,,,
0.901873,joy,Joy,0.6821,confident,Confident,,,
0.676924,sadness,Sadness,,,,,,
0.710632,sadness,Sadness,0.547933,tentative,Tentative,,,
,,,,,,,,
,,,,,,,,
0.82636,joy,Joy,0.855734,analytical,Analytical,,,
,,,,,,,,
0.541361,sadness,Sadness,,,,,,
0.615352,tentative,Tentative,,,,,,
0.560998,analytical,Analytical,,,,,,
0.556577,joy,Joy,,,,,,
0.602321,joy,Joy,0.647986,tentative,Tentative,0.532616,analytical,Analytical
,,,,,,,,
0.584943,sadness,Sadness,,,,,,
0.617673,joy,Joy,0.521421,analytical,Analytical,,,
,,,,,,,,
0.869696,joy,Joy,0.702145,analytical,Analytical,,,
0.6821,confident,Confident,,,,,,
0.87334,joy,Joy,0.606023,analytical,Analytical,,,
,,,,,,,,
0.768637,joy,Joy,,,,,,
0.671805,joy,Joy,0.526689,analytical,Analytical,,,
0.763553,confident,Confident,,,,,,
0.88452,joy,Joy,0.577139,analytical,Analytical,,,
0.767376,joy,Joy,,,,,,
0.834113,joy,Joy,,,,,,
0.512987,joy,Joy,0.709321,tentative,Tentative,,,
0.685053,sadness,Sadness,0.676008,analytical,Analytical,,,
0.873559,joy,Joy,,,,,,
,,,,,,,,
0.655676,sadness,Sadness,,,,,,
0.837061,joy,Joy,0.514704,analytical,Analytical,,,
0.81455,joy,Joy,0.762356,analytical,Analytical,,,
0.768846,joy,Joy,0.80026,confident,Confident,,,
0.535633,tentative,Tentative,,,,,,
,,,,,,,,
0.75038,sadness,Sadness,,,,,,
,,,,,,,,
0.791969,joy,Joy,,,,,,
0.926172,joy,Joy,0.762356,analytical,Analytical,,,
0.864843,joy,Joy,0.644371,analytical,Analytical,,,
0.708828,sadness,Sadness,0.703409,analytical,Analytical,,,
0.532079,tentative,Tentative,,,,,,
0.523084,sadness,Sadness,0.556777,analytical,Analytical,,,
0.740666,joy,Joy,0.537401,analytical,Analytical,,,
0.661558,sadness,Sadness,0.51455,analytical,Analytical,,,
,,,,,,,,
0.641161,joy,Joy,0.698904,tentative,Tentative,,,
0.815938,joy,Joy,,,,,,
,,,,,,,,
0.941904,joy,Joy,,,,,,
0.749315,sadness,Sadness,0.607379,tentative,Tentative,,,
