document_tone/tones/0/score,document_tone/tones/0/tone_id,document_tone/tones/0/tone_name,document_tone/tones/1/score,document_tone/tones/1/tone_id,document_tone/tones/1/tone_name,document_tone/tones/2/score,document_tone/tones/2/tone_id,document_tone/tones/2/tone_name
0.898193,joy,Joy,,,,,,
,,,,,,,,
0.88939,tentative,Tentative,,,,,,
0.679565,joy,Joy,0.647986,tentative,Tentative,,,
0.619005,joy,Joy,,,,,,
0.968577,anger,Anger,,,,,,
0.834168,joy,Joy,,,,,,
0.659112,tentative,Tentative,,,,,,
0.844694,joy,Joy,,,,,,
0.879052,joy,Joy,,,,,,
0.97759,confident,Confident,0.920855,analytical,Analytical,,,
,,,,,,,,
0.59637,sadness,Sadness,0.704642,confident,Confident,,,
0.5538,tentative,Tentative,,,,,,
0.620279,analytical,Analytical,,,,,,
0.93534,analytical,Analytical,,,,,,
,,,,,,,,
0.514269,sadness,Sadness,,,,,,
0.548599,sadness,Sadness,,,,,,
0.507907,sadness,Sadness,0.849827,confident,Confident,,,
0.75152,tentative,Tentative,,,,,,
0.947291,joy,Joy,,,,,,
0.890852,joy,Joy,,,,,,
0.534588,joy,Joy,0.976993,tentative,Tentative,,,
,,,,,,,,
0.702457,joy,Joy,,,,,,
0.704642,confident,Confident,,,,,,
,,,,,,,,
,,,,,,,,
0.598013,sadness,Sadness,,,,,,
0.568329,joy,Joy,,,,,,
0.75152,tentative,Tentative,,,,,,
0.620279,analytical,Analytical,0.75152,tentative,Tentative,,,
0.849846,tentative,Tentative,,,,,,
0.593281,joy,Joy,0.974201,tentative,Tentative,,,
0.811255,confident,Confident,,,,,,
,,,,,,,,
0.6821,confident,Confident,0.698008,analytical,Analytical,,,
0.906378,joy,Joy,,,,,,
,,,,,,,,
,,,,,,,,
0.538154,joy,Joy,0.781949,analytical,Analytical,,,
0.839946,fear,Fear,,,,,,
0.755826,joy,Joy,0.932155,confident,Confident,0.642915,analytical,Analytical
0.716301,tentative,Tentative,,,,,,
,,,,,,,,
0.520723,anger,Anger,,,,,,
0.777577,joy,Joy,0.88939,tentative,Tentative,,,
0.968123,tentative,Tentative,0.687768,analytical,Analytical,,,
0.638987,confident,Confident,,,,,,
0.62151,joy,Joy,,,,,,
0.682883,sadness,Sadness,,,,,,
0.745936,joy,Joy,,,,,,
,,,,,,,,
,,,,,,,,
0.956987,joy,Joy,0.724236,analytical,Analytical,,,
0.849827,confident,Confident,,,,,,
,,,,,,,,
0.616232,joy,Joy,,,,,,
0.788283,sadness,Sadness,0.944551,analytical,Analytical,,,
0.712869,sadness,Sadness,0.562568,analytical,Analytical,,,
0.602293,joy,Joy,,,,,,
0.946262,joy,Joy,0.92125,confident,Confident,,,
0.942582,confident,Confident,,,,,,
0.60732,joy,Joy,,,,,,
0.658157,joy,Joy,,,,,,
0.783618,joy,Joy,0.92125,confident,Confident,,,
0.800809,joy,Joy,0.716301,tentative,Tentative,,,
,,,,,,,,
0.913602,joy,Joy,,,,,,
0.532616,analytical,Analytical,,,,,,
0.675837,joy,Joy,0.92125,confident,Confident,0.93884,analytical,Analytical
,,,,,,,,
0.525433,sadness,Sadness,,,,,,
0.506763,analytical,Analytical,,,,,,
0.5538,tentative,Tentative,0.842108,analytical,Analytical,,,
0.598581,anger,Anger,0.961633,confident,Confident,,,
0.914608,joy,Joy,0.874372,confident,Confident,0.842108,analytical,Analytical
0.854779,joy,Joy,0.615352,tentative,Tentative,,,
0.576664,sadness,Sadness,,,,,,
0.502248,sadness,Sadness,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0.866551,joy,Joy,,,,,,
0.80026,confident,Confident,,,,,,
0.914445,joy,Joy,0.959081,confident,Confident,,,
0.907593,sadness,Sadness,,,,,,
0.959562,joy,Joy,,,,,,
0.540994,sadness,Sadness,0.965509,analytical,Analytical,,,
0.554807,joy,Joy,,,,,,
0.569065,confident,Confident,,,,,,
0.863351,joy,Joy,,,,,,
,,,,,,,,
0.898327,confident,Confident,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0.807602,joy,Joy,0.687768,analytical,Analytical,,,
0.706806,joy,Joy,,,,,,
0.758551,joy,Joy,0.6821,confident,Confident,,,
0.713524,joy,Joy,,,,,,
0.935272,joy,Joy,,,,,,
,,,,,,,,
0.870332,joy,Joy,,,,,,
0.914476,joy,Joy,0.506763,analytical,Analytical,,,
0.958995,joy,Joy,,,,,,
,,,,,,,,
0.670187,joy,Joy,,,,,,
0.579436,confident,Confident,,,,,,
0.617754,sadness,Sadness,,,,,,
0.833782,joy,Joy,0.775702,confident,Confident,0.589295,analytical,Analytical
0.723161,joy,Joy,,,,,,
0.572766,joy,Joy,,,,,,
0.955445,analytical,Analytical,,,,,,
0.984352,tentative,Tentative,,,,,,
0.614866,joy,Joy,,,,,,
0.673211,sadness,Sadness,0.786991,tentative,Tentative,,,
0.500879,sadness,Sadness,0.862149,confident,Confident,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0.815478,joy,Joy,0.632066,confident,Confident,,,
0.713028,analytical,Analytical,,,,,,
0.577079,anger,Anger,,,,,,
0.547886,sadness,Sadness,,,,,,
,,,,,,,,
0.955445,analytical,Analytical,,,,,,
0.6821,confident,Confident,,,,,,
,,,,,,,,
0.799897,joy,Joy,,,,,,
,,,,,,,,
0.881563,anger,Anger,,,,,,
0.912309,joy,Joy,,,,,,
0.749019,joy,Joy,0.660207,confident,Confident,0.620279,analytical,Analytical
0.585568,joy,Joy,0.751512,confident,Confident,,,
0.823566,joy,Joy,,,,,,
,,,,,,,,
0.782153,joy,Joy,0.716301,tentative,Tentative,0.589295,analytical,Analytical
,,,,,,,,
0.909883,tentative,Tentative,0.653099,analytical,Analytical,,,
0.580308,sadness,Sadness,0.704642,confident,Confident,,,
,,,,,,,,
0.769609,joy,Joy,0.656175,analytical,Analytical,,,
,,,,,,,,
0.883677,confident,Confident,0.646387,analytical,Analytical,,,
0.539091,sadness,Sadness,,,,,,
,,,,,,,,
0.65918,sadness,Sadness,0.532616,analytical,Analytical,,,
,,,,,,,,
0.627118,joy,Joy,,,,,,
,,,,,,,,
,,,,,,,,
0.819563,joy,Joy,0.923658,tentative,Tentative,,,
0.849827,confident,Confident,,,,,,
0.785164,joy,Joy,0.762356,analytical,Analytical,,,
0.551997,joy,Joy,,,,,,
0.896672,joy,Joy,,,,,,
