document_tone/tones/0/score,document_tone/tones/0/tone_id,document_tone/tones/0/tone_name,document_tone/tones/1/score,document_tone/tones/1/tone_id,document_tone/tones/1/tone_name,document_tone/tones/2/score,document_tone/tones/2/tone_id,document_tone/tones/2/tone_name
0.700796,sadness,Sadness,0.529541,analytical,Analytical,,,
0.635246,sadness,Sadness,0.700074,analytical,Analytical,,,
0.598135,sadness,Sadness,0.727268,analytical,Analytical,,,
0.749157,sadness,Sadness,0.810283,analytical,Analytical,,,
0.598187,anger,Anger,,,,,,
0.595347,analytical,Analytical,,,,,,
0.577188,anger,Anger,0.544094,analytical,Analytical,,,
0.731446,sadness,Sadness,,,,,,
0.786615,sadness,Sadness,0.837689,analytical,Analytical,0.529792,tentative,Tentative
0.607343,sadness,Sadness,0.588282,analytical,Analytical,,,
0.516203,sadness,Sadness,,,,,,
0.516706,sadness,Sadness,0.777336,analytical,Analytical,,,
0.841134,analytical,Analytical,,,,,,
0.554976,anger,Anger,0.581384,sadness,Sadness,0.803,analytical,Analytical
0.568737,sadness,Sadness,,,,,,
0.51232,analytical,Analytical,,,,,,
0.631113,joy,Joy,0.664451,analytical,Analytical,,,
0.529905,analytical,Analytical,,,,,,
0.715432,sadness,Sadness,0.743309,analytical,Analytical,,,
0.653996,analytical,Analytical,,,,,,
0.63996,sadness,Sadness,0.613236,analytical,Analytical,,,
0.68014,anger,Anger,0.671661,analytical,Analytical,,,
0.748318,analytical,Analytical,,,,,,
0.723348,sadness,Sadness,,,,,,
0.50044,anger,Anger,,,,,,
0.743464,analytical,Analytical,,,,,,
0.646841,sadness,Sadness,0.832362,analytical,Analytical,,,
,,,,,,,,
0.66633,sadness,Sadness,0.615352,tentative,Tentative,,,
0.652783,sadness,Sadness,,,,,,
0.628634,confident,Confident,,,,,,
0.651463,sadness,Sadness,,,,,,
0.678274,sadness,Sadness,0.640432,analytical,Analytical,,,
,,,,,,,,
0.658985,sadness,Sadness,0.620279,analytical,Analytical,,,
0.684381,joy,Joy,0.942582,confident,Confident,,,
0.646502,sadness,Sadness,0.55753,analytical,Analytical,,,
0.741744,joy,Joy,0.886448,confident,Confident,,,
0.62099,sadness,Sadness,,,,,,
0.505579,sadness,Sadness,0.602578,analytical,Analytical,,,
0.647581,joy,Joy,0.551946,confident,Confident,0.553281,analytical,Analytical
0.594604,analytical,Analytical,,,,,,
0.710517,analytical,Analytical,,,,,,
0.63698,tentative,Tentative,,,,,,
,,,,,,,,
0.593387,joy,Joy,0.744572,analytical,Analytical,,,
0.724474,joy,Joy,0.700591,analytical,Analytical,,,
0.705784,analytical,Analytical,,,,,,
,,,,,,,,
0.765702,tentative,Tentative,0.655013,analytical,Analytical,,,
,,,,,,,,
0.504479,joy,Joy,,,,,,
0.552581,anger,Anger,0.548303,sadness,Sadness,,,
0.557646,sadness,Sadness,0.941308,analytical,Analytical,0.75152,tentative,Tentative
,,,,,,,,
0.655293,sadness,Sadness,0.832957,analytical,Analytical,,,
0.549157,sadness,Sadness,0.544789,anger,Anger,0.556621,analytical,Analytical
,,,,,,,,
0.629285,joy,Joy,0.794126,analytical,Analytical,,,
0.734627,sadness,Sadness,0.69187,analytical,Analytical,,,
0.694738,sadness,Sadness,0.741606,analytical,Analytical,,,
0.587564,sadness,Sadness,,,,,,
0.552075,analytical,Analytical,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0.81561,joy,Joy,,,,,,
0.884772,analytical,Analytical,,,,,,
0.805466,analytical,Analytical,,,,,,
0.859635,joy,Joy,,,,,,
0.515588,sadness,Sadness,0.779898,tentative,Tentative,,,
0.611054,analytical,Analytical,,,,,,
0.750605,sadness,Sadness,0.857766,analytical,Analytical,,,
0.546347,analytical,Analytical,,,,,,
,,,,,,,,
0.54449,sadness,Sadness,0.638987,confident,Confident,,,
0.796114,sadness,Sadness,,,,,,
0.534736,analytical,Analytical,,,,,,
0.847045,analytical,Analytical,,,,,,
0.743273,analytical,Analytical,,,,,,
0.814985,sadness,Sadness,0.596024,analytical,Analytical,,,
0.868369,joy,Joy,,,,,,
,,,,,,,,
0.886625,joy,Joy,0.864115,analytical,Analytical,,,
0.543243,sadness,Sadness,0.726016,analytical,Analytical,,,
0.704642,confident,Confident,,,,,,
0.618451,confident,Confident,0.939594,analytical,Analytical,,,
0.700591,analytical,Analytical,,,,,,
,,,,,,,,
0.68931,sadness,Sadness,,,,,,
0.648202,joy,Joy,0.731338,tentative,Tentative,0.8152,analytical,Analytical
0.737706,analytical,Analytical,,,,,,
0.509368,confident,Confident,0.821913,analytical,Analytical,,,
0.527861,sadness,Sadness,0.676939,analytical,Analytical,,,
0.59362,joy,Joy,0.768469,analytical,Analytical,,,
0.602906,joy,Joy,,,,,,
0.873624,analytical,Analytical,,,,,,
0.855423,joy,Joy,,,,,,
,,,,,,,,
0.803567,analytical,Analytical,,,,,,
0.802155,tentative,Tentative,,,,,,
0.650586,sadness,Sadness,,,,,,
0.592419,sadness,Sadness,0.620279,analytical,Analytical,,,
0.558718,anger,Anger,0.592985,sadness,Sadness,0.597565,analytical,Analytical
0.509247,sadness,Sadness,0.543112,confident,Confident,0.591967,analytical,Analytical
0.670907,joy,Joy,0.751512,confident,Confident,0.801827,analytical,Analytical
0.797389,analytical,Analytical,,,,,,
,,,,,,,,
0.715449,joy,Joy,0.664718,tentative,Tentative,0.574817,analytical,Analytical
0.790954,analytical,Analytical,,,,,,
0.798072,sadness,Sadness,0.540225,analytical,Analytical,,,
0.605079,joy,Joy,0.63698,tentative,Tentative,,,
0.58325,sadness,Sadness,,,,,,
,,,,,,,,
0.631525,tentative,Tentative,0.607667,analytical,Analytical,,,
0.698904,tentative,Tentative,,,,,,
0.561417,analytical,Analytical,,,,,,
0.588649,sadness,Sadness,0.5905,analytical,Analytical,,,
0.735022,analytical,Analytical,,,,,,
0.530137,joy,Joy,0.740384,analytical,Analytical,,,
0.688513,joy,Joy,0.829999,confident,Confident,,,
0.625818,joy,Joy,,,,,,
0.68304,analytical,Analytical,,,,,,
0.70003,sadness,Sadness,0.723711,analytical,Analytical,,,
0.714646,sadness,Sadness,0.786991,tentative,Tentative,0.523417,analytical,Analytical
,,,,,,,,
,,,,,,,,
0.71806,joy,Joy,0.724236,analytical,Analytical,,,
0.515576,analytical,Analytical,,,,,,
0.695695,joy,Joy,,,,,,
,,,,,,,,
0.580192,sadness,Sadness,0.592138,confident,Confident,0.617877,analytical,Analytical
0.503213,sadness,Sadness,0.659112,tentative,Tentative,0.541591,analytical,Analytical
0.530824,sadness,Sadness,0.681699,tentative,Tentative,0.855208,analytical,Analytical
0.572825,anger,Anger,,,,,,
0.760038,analytical,Analytical,,,,,,
0.59323,joy,Joy,0.92125,confident,Confident,,,
0.60063,sadness,Sadness,,,,,,
0.529367,anger,Anger,0.532331,sadness,Sadness,0.621986,analytical,Analytical
0.66003,fear,Fear,,,,,,
0.762356,analytical,Analytical,,,,,,
0.553353,sadness,Sadness,0.743613,analytical,Analytical,,,
0.540526,analytical,Analytical,,,,,,
0.778207,joy,Joy,0.525007,tentative,Tentative,,,
,,,,,,,,
0.673386,sadness,Sadness,0.525007,tentative,Tentative,0.542988,analytical,Analytical
0.693269,sadness,Sadness,0.721302,tentative,Tentative,,,
0.718479,sadness,Sadness,,,,,,
,,,,,,,,
0.543112,confident,Confident,,,,,,
0.524622,sadness,Sadness,,,,,,
0.628634,confident,Confident,0.516914,analytical,Analytical,,,
0.789807,analytical,Analytical,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0.618735,joy,Joy,0.502925,analytical,Analytical,,,
0.620279,analytical,Analytical,,,,,,
0.525926,confident,Confident,0.649361,analytical,Analytical,,,
,,,,,,,,
0.635961,analytical,Analytical,,,,,,
0.704847,sadness,Sadness,0.812928,analytical,Analytical,,,
0.588532,sadness,Sadness,0.705784,analytical,Analytical,,,
0.650322,sadness,Sadness,0.674714,analytical,Analytical,,,
0.764487,analytical,Analytical,,,,,,
0.632105,sadness,Sadness,0.541591,analytical,Analytical,,,
0.835773,sadness,Sadness,0.604739,tentative,Tentative,,,
0.909424,sadness,Sadness,0.696676,analytical,Analytical,,,
,,,,,,,,
,,,,,,,,
0.67811,sadness,Sadness,0.796123,analytical,Analytical,,,
,,,,,,,,
0.708422,sadness,Sadness,0.871605,analytical,Analytical,,,
0.567568,sadness,Sadness,0.651139,analytical,Analytical,,,
0.752665,sadness,Sadness,0.766484,analytical,Analytical,,,
0.829015,sadness,Sadness,0.826134,analytical,Analytical,,,
0.718068,sadness,Sadness,0.894352,analytical,Analytical,,,
0.726546,sadness,Sadness,,,,,,
0.783794,sadness,Sadness,0.607238,analytical,Analytical,,,
,,,,,,,,
0.806565,sadness,Sadness,0.61409,analytical,Analytical,,,
0.669241,sadness,Sadness,0.555608,analytical,Analytical,,,
0.819493,sadness,Sadness,0.618493,analytical,Analytical,,,
0.527929,sadness,Sadness,0.53881,analytical,Analytical,,,
0.509558,analytical,Analytical,,,,,,
0.571157,sadness,Sadness,0.751042,analytical,Analytical,,,
0.735844,sadness,Sadness,0.738826,analytical,Analytical,,,
,,,,,,,,
0.572565,sadness,Sadness,0.790733,analytical,Analytical,,,
0.545404,anger,Anger,,,,,,
0.646994,analytical,Analytical,,,,,,
0.502594,sadness,Sadness,,,,,,
0.667322,sadness,Sadness,0.706093,analytical,Analytical,,,
0.543288,anger,Anger,,,,,,
0.648326,sadness,Sadness,0.60024,analytical,Analytical,,,
,,,,,,,,
0.538787,sadness,Sadness,0.703043,analytical,Analytical,,,
0.640062,sadness,Sadness,0.747419,analytical,Analytical,,,
0.548017,sadness,Sadness,0.698361,confident,Confident,0.513503,analytical,Analytical
0.664394,sadness,Sadness,0.620962,analytical,Analytical,,,
0.618238,sadness,Sadness,0.792962,analytical,Analytical,,,
0.687524,anger,Anger,,,,,,
0.511174,sadness,Sadness,0.74948,analytical,Analytical,,,
0.80429,sadness,Sadness,0.637066,analytical,Analytical,,,
0.504111,anger,Anger,0.63905,sadness,Sadness,,,
0.576003,anger,Anger,,,,,,
0.765202,sadness,Sadness,,,,,,
0.747111,sadness,Sadness,0.703409,analytical,Analytical,,,
0.50857,anger,Anger,0.541417,sadness,Sadness,0.693885,analytical,Analytical
0.700747,analytical,Analytical,,,,,,
0.753122,anger,Anger,,,,,,
0.703088,sadness,Sadness,,,,,,
0.554842,sadness,Sadness,0.613546,analytical,Analytical,,,
0.724236,analytical,Analytical,,,,,,
0.549164,sadness,Sadness,0.610065,analytical,Analytical,,,
0.704642,confident,Confident,0.530109,analytical,Analytical,,,
0.735046,sadness,Sadness,0.595347,analytical,Analytical,,,
0.526988,sadness,Sadness,,,,,,
0.767382,analytical,Analytical,,,,,,
0.548436,sadness,Sadness,,,,,,
0.586074,sadness,Sadness,,,,,,
0.549468,anger,Anger,0.65875,analytical,Analytical,,,
,,,,,,,,
,,,,,,,,
0.554268,sadness,Sadness,0.74144,analytical,Analytical,,,
0.557953,anger,Anger,,,,,,
0.75698,sadness,Sadness,0.64825,analytical,Analytical,,,
0.579346,sadness,Sadness,0.557546,analytical,Analytical,,,
0.545503,sadness,Sadness,,,,,,
0.766008,sadness,Sadness,,,,,,
0.62175,sadness,Sadness,,,,,,
0.896021,analytical,Analytical,,,,,,
0.5198,sadness,Sadness,,,,,,
0.631342,confident,Confident,0.579367,analytical,Analytical,,,
,,,,,,,,
0.627736,sadness,Sadness,,,,,,
0.533595,sadness,Sadness,0.704128,analytical,Analytical,,,
,,,,,,,,
0.578501,sadness,Sadness,0.520338,confident,Confident,0.535237,analytical,Analytical
0.585007,sadness,Sadness,0.664753,analytical,Analytical,,,
0.636743,sadness,Sadness,0.789401,analytical,Analytical,,,
0.668095,tentative,Tentative,,,,,,
0.672042,sadness,Sadness,0.56271,analytical,Analytical,,,
0.712104,sadness,Sadness,0.522855,analytical,Analytical,,,
0.526306,anger,Anger,,,,,,
0.554648,analytical,Analytical,,,,,,
0.772158,sadness,Sadness,0.586193,analytical,Analytical,,,
0.73001,sadness,Sadness,0.720099,analytical,Analytical,,,
0.660173,sadness,Sadness,,,,,,
0.598729,sadness,Sadness,0.631572,analytical,Analytical,,,
0.621509,sadness,Sadness,0.556691,analytical,Analytical,,,
0.660357,sadness,Sadness,,,,,,
0.733877,sadness,Sadness,0.559569,analytical,Analytical,,,
0.623513,anger,Anger,0.516219,sadness,Sadness,0.60068,analytical,Analytical
0.632429,sadness,Sadness,,,,,,
0.537056,sadness,Sadness,,,,,,
0.832906,joy,Joy,0.699729,analytical,Analytical,,,
0.649059,sadness,Sadness,,,,,,
0.710031,analytical,Analytical,,,,,,
,,,,,,,,
0.637813,anger,Anger,0.68121,analytical,Analytical,,,
0.606213,anger,Anger,0.869498,confident,Confident,,,
0.521855,anger,Anger,0.587467,sadness,Sadness,0.589295,analytical,Analytical
0.512075,analytical,Analytical,,,,,,
0.591303,anger,Anger,0.533634,analytical,Analytical,,,
0.533586,anger,Anger,0.502138,analytical,Analytical,,,
,,,,,,,,
0.83701,analytical,Analytical,,,,,,
0.546265,sadness,Sadness,,,,,,
0.588341,tentative,Tentative,,,,,,
0.728394,analytical,Analytical,,,,,,
0.742675,tentative,Tentative,0.739432,analytical,Analytical,,,
0.73323,analytical,Analytical,,,,,,
0.675138,sadness,Sadness,0.8067,analytical,Analytical,,,
0.587094,sadness,Sadness,,,,,,
0.750149,sadness,Sadness,0.529212,analytical,Analytical,,,
0.732877,sadness,Sadness,0.57706,analytical,Analytical,,,
0.685256,joy,Joy,,,,,,
0.621326,analytical,Analytical,,,,,,
0.56064,sadness,Sadness,0.780088,analytical,Analytical,,,
0.779821,sadness,Sadness,0.665191,analytical,Analytical,,,
0.665427,analytical,Analytical,,,,,,
0.551344,sadness,Sadness,,,,,,
0.617062,sadness,Sadness,,,,,,
0.793508,sadness,Sadness,0.643177,confident,Confident,,,
0.758349,sadness,Sadness,0.698681,analytical,Analytical,,,
0.614395,sadness,Sadness,0.624557,tentative,Tentative,,,
0.53631,sadness,Sadness,0.600711,anger,Anger,,,
0.608593,sadness,Sadness,0.818149,analytical,Analytical,,,
0.6748,sadness,Sadness,0.596247,analytical,Analytical,,,
,,,,,,,,
0.557011,anger,Anger,,,,,,
0.634157,analytical,Analytical,,,,,,
0.563552,anger,Anger,0.71364,analytical,Analytical,,,
0.500885,anger,Anger,0.580651,sadness,Sadness,0.680688,analytical,Analytical
0.590533,sadness,Sadness,0.668127,analytical,Analytical,,,
0.761358,sadness,Sadness,0.682107,analytical,Analytical,,,
0.770339,sadness,Sadness,0.769251,analytical,Analytical,,,
0.730489,sadness,Sadness,,,,,,
0.715628,sadness,Sadness,0.612109,analytical,Analytical,,,
0.858701,analytical,Analytical,,,,,,
0.63897,analytical,Analytical,,,,,,
0.550079,sadness,Sadness,,,,,,
0.687207,sadness,Sadness,0.579367,analytical,Analytical,,,
0.54133,analytical,Analytical,,,,,,
0.545598,sadness,Sadness,,,,,,
0.53644,sadness,Sadness,0.724505,analytical,Analytical,,,
0.500648,anger,Anger,0.641643,sadness,Sadness,0.595746,analytical,Analytical
0.592138,confident,Confident,0.847299,analytical,Analytical,,,
0.642278,sadness,Sadness,,,,,,
0.6858,sadness,Sadness,0.721636,analytical,Analytical,,,
0.636758,sadness,Sadness,0.526545,analytical,Analytical,,,
0.521312,sadness,Sadness,0.622907,analytical,Analytical,,,
0.555454,sadness,Sadness,0.511454,analytical,Analytical,,,
0.813317,sadness,Sadness,0.660346,analytical,Analytical,,,
0.676238,sadness,Sadness,0.735143,analytical,Analytical,,,
0.514854,anger,Anger,,,,,,
0.780093,sadness,Sadness,0.683442,analytical,Analytical,,,
,,,,,,,,
0.747271,sadness,Sadness,0.649771,analytical,Analytical,,,
0.770287,sadness,Sadness,0.687768,analytical,Analytical,,,
0.546299,sadness,Sadness,,,,,,
,,,,,,,,
0.567034,confident,Confident,0.692944,analytical,Analytical,,,
0.692405,analytical,Analytical,,,,,,
0.536325,sadness,Sadness,,,,,,
0.603729,joy,Joy,0.657162,analytical,Analytical,,,
0.61409,analytical,Analytical,,,,,,
0.503118,anger,Anger,0.599325,sadness,Sadness,,,
0.61819,sadness,Sadness,,,,,,
0.728888,analytical,Analytical,,,,,,
0.555879,sadness,Sadness,0.597565,analytical,Analytical,,,
0.521892,tentative,Tentative,,,,,,
,,,,,,,,
0.661752,sadness,Sadness,,,,,,
0.773241,sadness,Sadness,,,,,,
0.79989,analytical,Analytical,,,,,,
0.670283,sadness,Sadness,,,,,,
0.606104,sadness,Sadness,0.769964,analytical,Analytical,,,
0.695198,sadness,Sadness,0.749977,analytical,Analytical,,,
,,,,,,,,
0.808332,analytical,Analytical,,,,,,
0.676888,sadness,Sadness,,,,,,
0.576066,sadness,Sadness,0.748671,analytical,Analytical,,,
0.609184,sadness,Sadness,0.579367,analytical,Analytical,,,
0.533964,analytical,Analytical,,,,,,
0.755167,sadness,Sadness,,,,,,
0.7022,sadness,Sadness,0.694348,analytical,Analytical,,,
0.878958,sadness,Sadness,0.633873,analytical,Analytical,,,
0.553485,sadness,Sadness,,,,,,
,,,,,,,,
0.774415,sadness,Sadness,0.532079,tentative,Tentative,0.594723,analytical,Analytical
0.610484,sadness,Sadness,0.506564,tentative,Tentative,0.812136,analytical,Analytical
,,,,,,,,
,,,,,,,,
0.643262,sadness,Sadness,0.617262,analytical,Analytical,,,
0.636709,sadness,Sadness,,,,,,
0.638835,sadness,Sadness,0.60657,analytical,Analytical,,,
,,,,,,,,
0.644243,analytical,Analytical,,,,,,
0.618735,joy,Joy,0.502925,analytical,Analytical,,,
0.609936,sadness,Sadness,0.500992,analytical,Analytical,,,
0.710674,sadness,Sadness,0.87036,tentative,Tentative,,,
0.600948,joy,Joy,0.882284,analytical,Analytical,,,
0.51796,anger,Anger,0.599,analytical,Analytical,,,
0.660207,confident,Confident,0.724236,analytical,Analytical,,,
0.526171,sadness,Sadness,0.655212,analytical,Analytical,,,
0.689703,joy,Joy,0.829999,confident,Confident,,,
,,,,,,,,
0.553284,fear,Fear,,,,,,
0.545984,sadness,Sadness,0.796123,analytical,Analytical,,,
0.718156,joy,Joy,0.767592,confident,Confident,,,
0.548465,tentative,Tentative,,,,,,
0.5538,tentative,Tentative,0.719994,analytical,Analytical,,,
,,,,,,,,
0.781537,sadness,Sadness,0.643884,analytical,Analytical,,,
0.845102,analytical,Analytical,,,,,,
0.556793,joy,Joy,0.530658,tentative,Tentative,,,
0.686556,sadness,Sadness,0.619151,analytical,Analytical,,,
0.661911,analytical,Analytical,,,,,,
,,,,,,,,
0.617666,analytical,Analytical,,,,,,
0.532202,anger,Anger,,,,,,
0.584337,sadness,Sadness,0.648391,analytical,Analytical,,,
0.520224,analytical,Analytical,,,,,,
0.564087,sadness,Sadness,,,,,,
0.832911,analytical,Analytical,,,,,,
0.672225,fear,Fear,0.971848,tentative,Tentative,,,
,,,,,,,,
0.568768,anger,Anger,0.8134,analytical,Analytical,,,
0.922575,analytical,Analytical,,,,,,
0.584833,sadness,Sadness,0.743104,analytical,Analytical,,,
0.695549,confident,Confident,0.712444,analytical,Analytical,,,
0.595211,sadness,Sadness,0.595347,analytical,Analytical,,,
0.702145,analytical,Analytical,,,,,,
0.830819,joy,Joy,0.762356,analytical,Analytical,,,
0.51757,confident,Confident,0.773004,analytical,Analytical,,,
0.76549,sadness,Sadness,,,,,,
0.825955,sadness,Sadness,0.60892,analytical,Analytical,,,
0.583402,anger,Anger,,,,,,
0.5479,sadness,Sadness,0.519766,analytical,Analytical,,,
0.505964,sadness,Sadness,,,,,,
0.771469,sadness,Sadness,0.718038,analytical,Analytical,,,
0.712508,sadness,Sadness,,,,,,
0.693308,sadness,Sadness,0.663931,analytical,Analytical,,,
