usage/text_units,usage/text_characters,usage/features,sentiment/document/score,sentiment/document/label,language
1,503,1,0.603153,positive,en
1,723,1,0.634583,positive,en
1,290,1,0.489686,positive,en
1,172,1,-0.605141,negative,en
1,371,1,0.34706,positive,en
1,329,1,-0.858798,negative,en
1,375,1,-0.56801,negative,en
1,219,1,-0.919007,negative,en
1,304,1,0.927958,positive,en
1,835,1,0.679845,positive,en
1,179,1,0.981994,positive,en
1,137,1,0.379652,positive,en
1,759,1,-0.909591,negative,en
1,538,1,-0.933372,negative,en
1,114,1,0.474988,positive,en
1,696,1,-0.945397,negative,en
1,550,1,0.721569,positive,en
1,299,1,0.998183,positive,en
1,154,1,0.996231,positive,en
1,84,1,-0.935787,negative,en
1,218,1,-0.98059,negative,en
1,249,1,0.826418,positive,en
1,127,1,0.992877,positive,en
1,899,1,-0.882112,negative,en
1,185,1,-0.961392,negative,en
1,277,1,-0.644825,negative,en
1,353,1,0.384441,positive,en
1,274,1,-0.723349,negative,en
1,296,1,-0.94521,negative,en
1,269,1,0.900013,positive,en
1,439,1,-0.776541,negative,en
1,570,1,0.94225,positive,en
1,238,1,0.981296,positive,en
1,209,1,0.787257,positive,en
1,356,1,-0.760036,negative,en
1,376,1,0.887931,positive,en
1,181,1,-0.979009,negative,en
1,354,1,0.756197,positive,en
1,510,1,0.564678,positive,en
1,335,1,-0.932594,negative,en
1,579,1,0.835642,positive,en
1,475,1,-0.343396,negative,en
1,83,1,-0.883232,negative,en
1,555,1,0.823404,positive,en
1,898,1,-0.661584,negative,en
1,693,1,0.806312,positive,en
1,431,1,-0.773931,negative,en
1,583,1,-0.640206,negative,en
1,878,1,0.956828,positive,en
1,209,1,0.327178,positive,en
1,570,1,-0.86562,negative,en
1,556,1,-0.98743,negative,en
1,707,1,-0.531324,negative,en
1,100,1,-0.705645,negative,en
1,766,1,-0.933816,negative,en
1,180,1,0.954215,positive,en
1,386,1,-0.696191,negative,en
1,82,1,-0.77163,negative,en
1,208,1,0.696012,positive,en
1,567,1,-0.743087,negative,en
1,842,1,0.932493,positive,en
1,459,1,0.691397,positive,en
1,676,1,-0.944825,negative,en
1,487,1,-0.591214,negative,en
1,358,1,0.996103,positive,en
1,624,1,0.552119,positive,en
1,611,1,0.393335,positive,en
1,264,1,0.379186,positive,en
1,403,1,0.917832,positive,en
1,95,1,-0.669751,negative,en
1,522,1,-0.457682,negative,en
1,885,1,-0.861768,negative,en
1,319,1,-0.947808,negative,en
1,417,1,-0.479231,negative,en
1,494,1,0.332956,positive,en
1,659,1,0.314255,positive,en
1,698,1,-0.995581,negative,en
1,608,1,-0.937751,negative,en
1,146,1,0.955757,positive,en
1,114,1,0.549672,positive,en
1,365,1,0.999362,positive,en
1,141,1,-0.9414,negative,en
1,590,1,-0.91245,negative,en
1,128,1,-0.541294,negative,en
1,207,1,0.774982,positive,en
1,784,1,-0.98632,negative,en
1,109,1,-0.627141,negative,en
1,448,1,0.66559,positive,en
1,220,1,0.508568,positive,en
1,950,1,-0.709936,negative,en
1,228,1,-0.949791,negative,en
1,742,1,-0.422138,negative,en
1,381,1,-0.720533,negative,en
1,888,1,-0.889714,negative,en
1,808,1,-0.484399,negative,en
1,349,1,-0.483313,negative,en
1,95,1,-0.866733,negative,en
1,80,1,-0.922566,negative,en
1,255,1,-0.482413,negative,en
1,248,1,-0.380828,negative,en
1,121,1,-0.966554,negative,en
1,262,1,0.61735,positive,en
1,484,1,-0.907969,negative,en
1,347,1,-0.953685,negative,en
1,137,1,-0.65222,negative,en
1,139,1,-0.992707,negative,en
1,398,1,0.353203,positive,en
1,342,1,-0.587954,negative,en
1,461,1,-0.763674,negative,en
1,887,1,0.862935,positive,en
1,241,1,0.493825,positive,en
1,941,1,-0.541035,negative,en
1,147,1,0.909152,positive,en
1,323,1,0.61085,positive,en
1,803,1,-0.996418,negative,en
1,88,1,-0.910704,negative,en
1,294,1,-0.967636,negative,en
1,145,1,0.433177,positive,en
1,135,1,0.994999,positive,en
1,129,1,0.907214,positive,en
1,461,1,0.639408,positive,en
1,502,1,-0.980422,negative,en
1,78,1,0.986507,positive,en
1,852,1,-0.625131,negative,en
1,125,1,0.997337,positive,en
1,189,1,0.525495,positive,en
1,749,1,0.750654,positive,en
1,236,1,0.989911,positive,en
1,71,1,-0.955624,negative,en
1,164,1,-0.998569,negative,en
1,323,1,0.752319,positive,en
1,622,1,-0.824636,negative,en
1,375,1,0.505805,positive,en
1,343,1,-0.771209,negative,en
1,273,1,-0.423164,negative,en
1,187,1,-0.92146,negative,en
1,446,1,-0.95291,negative,en
1,83,1,0.937715,positive,en
1,171,1,-0.762668,negative,en
1,461,1,-0.928083,negative,en
1,302,1,-0.634429,negative,en
1,731,1,0.823399,positive,en
1,285,1,0.960297,positive,en
1,276,1,0.999944,positive,es
1,365,1,-0.729358,negative,en
1,251,1,-0.555807,negative,en
1,250,1,0.462344,positive,en
1,630,1,-0.74757,negative,en
1,90,1,0,neutral,en
1,151,1,-0.971013,negative,en
1,209,1,-0.90352,negative,en
1,804,1,0.337284,positive,en
1,123,1,0.841323,positive,en
1,223,1,0.463137,positive,en
1,86,1,-0.978743,negative,en
1,386,1,0.907852,positive,en
1,502,1,-0.382781,negative,en
1,914,1,0,neutral,en
1,569,1,0.768484,positive,en
1,147,1,-0.685497,negative,en
1,348,1,0.992124,positive,en
1,895,1,0.829007,positive,en
1,761,1,0.352179,positive,en
1,188,1,-0.800743,negative,en
1,163,1,0.969077,positive,en
1,219,1,0.993708,positive,en
1,509,1,0.487196,positive,en
1,246,1,-0.988187,negative,en
1,684,1,0.934073,positive,en
1,114,1,0.954638,positive,en
1,204,1,0.991439,positive,en
1,520,1,-0.653017,negative,en
1,211,1,-0.494724,negative,en
1,934,1,-0.909143,negative,en
1,445,1,-0.850963,negative,en
1,372,1,-0.349706,negative,en
1,277,1,0.998753,positive,en
1,384,1,0.613041,positive,en
1,421,1,-0.908741,negative,en
1,387,1,-0.987949,negative,en
1,345,1,-0.68476,negative,en
1,940,1,0.656534,positive,en
1,265,1,-0.968376,negative,en
1,433,1,-0.464734,negative,en
1,177,1,-0.470266,negative,en
1,90,1,0.990221,positive,en
1,294,1,0.307878,positive,en
1,312,1,0.966071,positive,en
1,342,1,0.28721,positive,en
1,813,1,-0.489455,negative,en
1,539,1,-0.991245,negative,en
1,593,1,0.718422,positive,en
1,441,1,-0.592626,negative,en
1,725,1,0.734657,positive,en
1,455,1,-0.915502,negative,en
1,138,1,0.783499,positive,en
1,97,1,-0.899967,negative,en
1,216,1,0.83941,positive,en
1,110,1,-0.937912,negative,en
1,417,1,0.996187,positive,en
1,843,1,-0.897857,negative,en
1,217,1,-0.353409,negative,en
1,261,1,-0.826969,negative,en
1,112,1,0.95499,positive,en
1,452,1,0.910477,positive,en
1,603,1,0.956033,positive,en
1,568,1,-0.875103,negative,en
1,131,1,-0.910098,negative,en
1,571,1,0.843708,positive,en
1,102,1,0.806771,positive,en
1,291,1,-0.798085,negative,en
1,251,1,0.999589,positive,en
1,138,1,-0.801479,negative,en
1,352,1,0.428971,positive,en
1,873,1,0.802843,positive,en
1,126,1,0.66182,positive,en
1,696,1,-0.58648,negative,en
1,537,1,-0.948381,negative,en
1,199,1,-0.995569,negative,en
1,92,1,-0.534896,negative,en
1,375,1,0.389965,positive,en
1,280,1,-0.976196,negative,en
1,186,1,0.637372,positive,en
1,338,1,0.947535,positive,en
1,285,1,-0.898874,negative,en
1,42,1,0.982863,positive,en
1,226,1,0.982805,positive,en
1,414,1,0.568533,positive,en
1,276,1,0.890141,positive,en
1,395,1,-0.730864,negative,en
1,855,1,-0.680542,negative,en
1,591,1,-0.697278,negative,en
1,172,1,-0.810968,negative,en
1,455,1,0.988323,positive,en
1,799,1,0.869808,positive,en
1,889,1,0.380852,positive,en
1,270,1,0.985049,positive,en
1,679,1,0.908504,positive,en
1,712,1,-0.967934,negative,en
1,156,1,0.994409,positive,en
1,124,1,0.998023,positive,en
1,296,1,0.985165,positive,en
1,381,1,0.438228,positive,en
1,333,1,0.615355,positive,en
1,154,1,-0.989095,negative,en
1,412,1,-0.687765,negative,en
1,701,1,0.307801,positive,en
1,726,1,0.961111,positive,en
1,446,1,0.814007,positive,en
1,372,1,-0.996174,negative,en
1,477,1,-0.795454,negative,en
1,482,1,0.606492,positive,en
1,314,1,0.958606,positive,en
1,563,1,-0.95898,negative,en
1,363,1,-0.885973,negative,en
1,513,1,-0.641539,negative,en
1,212,1,0.44046,positive,en
1,874,1,-0.923692,negative,en
1,834,1,-0.871227,negative,en
1,457,1,-0.895449,negative,en
1,446,1,0.793867,positive,en
1,227,1,-0.796937,negative,en
1,176,1,0.991717,positive,en
1,237,1,0.942822,positive,en
1,262,1,-0.867491,negative,en
1,747,1,0.993275,positive,en
1,202,1,0.710804,positive,en
1,289,1,0.500074,positive,es
1,845,1,-0.944719,negative,en
1,386,1,-0.975708,negative,en
1,949,1,-0.509067,negative,en
1,311,1,0,neutral,en
1,432,1,-0.999308,negative,en
1,295,1,0.999622,positive,en
1,459,1,0.962865,positive,en
1,206,1,0.999246,positive,en
1,138,1,0.637237,positive,en
1,128,1,0.648096,positive,en
1,253,1,0.787019,positive,en
1,336,1,-0.873395,negative,en
1,124,1,-0.895831,negative,en
1,257,1,-0.487632,negative,en
1,166,1,-0.985148,negative,en
1,121,1,0.544343,positive,en
1,661,1,-0.633403,negative,en
1,634,1,0.547057,positive,en
1,424,1,-0.776706,negative,en
1,700,1,-0.590817,negative,en
1,496,1,-0.349886,negative,en
1,635,1,-0.862888,negative,en
1,772,1,0.36328,positive,en
1,323,1,0.516542,positive,en
1,210,1,-0.915827,negative,en
1,613,1,-0.857586,negative,en
1,117,1,-0.995296,negative,en
1,353,1,-0.943654,negative,en
1,352,1,-0.755145,negative,en
1,101,1,0,neutral,en
1,247,1,0.546625,positive,en
1,212,1,0.822548,positive,en
1,830,1,0,neutral,en
1,132,1,-0.885904,negative,en
1,116,1,0.780003,positive,en
1,243,1,0.652824,positive,en
1,242,1,0.882856,positive,en
1,882,1,0.853952,positive,en
1,779,1,-0.508654,negative,en
1,483,1,-0.617597,negative,en
1,91,1,0.873373,positive,en
1,361,1,0.426598,positive,en
1,245,1,-0.935327,negative,en
1,255,1,0.508267,positive,en
1,200,1,0.4921,positive,en
1,619,1,0.955811,positive,en
1,741,1,-0.756893,negative,en
1,233,1,0.99949,positive,en
1,735,1,0.850247,positive,en
1,392,1,-0.582251,negative,en
1,919,1,-0.755423,negative,en
1,150,1,-0.972354,negative,en
1,277,1,-0.811463,negative,en
1,144,1,-0.781458,negative,en
1,588,1,0.456318,positive,en
1,135,1,-0.995124,negative,en
1,160,1,-0.568411,negative,en
1,246,1,0.636142,positive,en
1,126,1,0.999751,positive,en
1,152,1,0.919566,positive,en
1,523,1,-0.98693,negative,en
1,172,1,-0.938354,negative,en
1,214,1,-0.988268,negative,en
1,294,1,-0.692453,negative,en
1,171,1,-0.987887,negative,en
1,229,1,-0.672319,negative,en
1,160,1,-0.984244,negative,en
1,731,1,0.315455,positive,en
1,520,1,-0.985888,negative,en
1,255,1,-0.97979,negative,en
1,869,1,-0.813355,negative,en
1,139,1,-0.815355,negative,en
1,162,1,0.833715,positive,en
1,482,1,-0.986219,negative,en
1,315,1,0.999665,positive,en
1,119,1,0.997714,positive,en
1,596,1,-0.783869,negative,en
1,377,1,-0.875878,negative,en
1,700,1,-0.347244,negative,en
1,107,1,0.951498,positive,en
1,620,1,0.550212,positive,en
1,122,1,-0.972022,negative,en
1,163,1,-0.881853,negative,en
1,880,1,-0.40322,negative,en
1,191,1,-0.531694,negative,en
1,473,1,-0.992306,negative,en
1,697,1,-0.846847,negative,en
1,154,1,0.598536,positive,en
1,433,1,0.642547,positive,en
1,712,1,-0.844196,negative,en
1,677,1,-0.575677,negative,en
1,422,1,0.314492,positive,en
1,348,1,0.611779,positive,en
1,93,1,-0.466992,negative,en
1,402,1,-0.987536,negative,en
1,142,1,-0.95253,negative,en
1,659,1,-0.915257,negative,en
1,485,1,-0.693842,negative,en
1,455,1,-0.999699,negative,en
1,843,1,-0.926718,negative,en
1,222,1,-0.718572,negative,en
1,928,1,0.959567,positive,en
1,405,1,0.987111,positive,en
1,416,1,-0.734582,negative,en
1,281,1,0.912072,positive,en
1,157,1,0.430738,positive,en
1,828,1,-0.849122,negative,en
1,533,1,0.996611,positive,en
1,109,1,0.838674,positive,en
1,450,1,0.359836,positive,en
1,271,1,-0.500368,negative,en
1,527,1,-0.646022,negative,en
1,427,1,0.803528,positive,en
1,163,1,0.953358,positive,en
1,203,1,0.960168,positive,en
1,247,1,0.999898,positive,en
1,847,1,0.335016,positive,en
1,109,1,0.966264,positive,en
1,232,1,-0.914576,negative,en
1,440,1,-0.342723,negative,en
1,362,1,-0.990429,negative,en
1,78,1,0.845268,positive,en
1,820,1,-0.840208,negative,en
1,248,1,-0.325182,negative,en
1,545,1,-0.87005,negative,en
1,313,1,0.92869,positive,en
1,343,1,0.912765,positive,en
1,647,1,0.641013,positive,en
1,466,1,0.982527,positive,en
1,351,1,0.850772,positive,en
1,249,1,0.579967,positive,en
1,179,1,-0.80064,negative,en
1,213,1,-0.606558,negative,en
1,308,1,-0.337125,negative,en
1,123,1,0.929968,positive,en
