usage/text_units,usage/text_characters,usage/features,sentiment/document/score,sentiment/document/label,language
1,20,1,0.989986,positive,en
1,17,1,-0.937529,negative,en
1,40,1,-0.93836,negative,en
1,86,1,0.889159,positive,en
1,58,1,0.926071,positive,en
1,45,1,-0.981957,negative,en
1,34,1,-0.568189,negative,en
1,110,1,-0.617079,negative,en
1,24,1,0.943644,positive,en
1,13,1,0.978912,positive,en
1,23,1,0.961933,positive,en
1,17,1,-0.603759,negative,en
1,98,1,-0.968961,negative,en
1,54,1,0,neutral,en
1,61,1,-0.875232,negative,en
1,49,1,-0.891142,negative,en
1,18,1,0.997727,positive,en
1,37,1,-0.586331,negative,en
1,49,1,-0.974463,negative,en
1,19,1,-0.841433,negative,en
1,18,1,-0.770958,negative,en
1,16,1,0.970215,positive,en
1,20,1,0.949737,positive,en
1,48,1,0.861285,positive,en
1,17,1,0,neutral,en
1,56,1,0.970857,positive,en
1,40,1,0,neutral,en
1,71,1,0.958943,positive,en
1,138,1,-0.875327,negative,en
1,32,1,-0.960309,negative,en
1,78,1,0.783571,positive,en
1,28,1,0,neutral,en
1,57,1,0.484639,positive,en
1,113,1,-0.44203,negative,en
1,31,1,0.790633,positive,en
1,77,1,0.93471,positive,en
1,30,1,0.959782,positive,en
1,86,1,-0.990908,negative,en
1,36,1,0.943456,positive,en
1,27,1,0,neutral,en
1,80,1,-0.896358,negative,en
1,145,1,-0.964657,negative,en
1,75,1,0.994081,positive,en
1,73,1,-0.932396,negative,en
1,63,1,0,neutral,en
1,39,1,-0.995725,negative,en
1,41,1,0.899215,positive,en
1,47,1,-0.238536,negative,en
1,100,1,0.998297,positive,en
1,97,1,0.942288,positive,en
1,89,1,0,neutral,en
1,26,1,0.948112,positive,en
1,109,1,-0.94926,negative,en
1,20,1,0,neutral,en
1,66,1,0.998872,positive,en
1,91,1,0.439221,positive,en
1,57,1,-0.692677,negative,en
1,101,1,0,neutral,en
1,65,1,-0.911427,negative,en
1,81,1,-0.740909,negative,en
1,46,1,0.867788,positive,en
1,44,1,0.988668,positive,en
1,33,1,0,neutral,en
1,34,1,0.986092,positive,en
1,70,1,0.938736,positive,en
1,34,1,0.943031,positive,en
1,66,1,0.965056,positive,en
1,97,1,-0.700312,negative,en
1,29,1,0.988756,positive,en
1,87,1,0,neutral,en
1,37,1,0.97562,positive,en
1,19,1,-0.682906,negative,en
