usage/text_units,usage/text_characters,usage/features,sentiment/document/score,sentiment/document/label,language
1,2259,1,-0.942086,negative,en
1,1147,1,-0.927428,negative,en
1,661,1,-0.999958,negative,en
1,445,1,-0.968616,negative,en
1,304,1,-0.999102,negative,en
1,183,1,-0.974706,negative,en
1,1084,1,-0.917997,negative,en
1,686,1,-0.876485,negative,en
1,660,1,-0.954972,negative,en
1,359,1,-0.913336,negative,en
1,504,1,-0.952391,negative,en
1,1154,1,-0.982887,negative,en
1,339,1,-0.946235,negative,en
1,658,1,-0.957545,negative,en
1,1108,1,-0.987708,negative,en
1,500,1,-0.985418,negative,en
1,390,1,-0.480554,negative,en
1,691,1,-0.900854,negative,en
1,490,1,-0.999741,negative,en
1,398,1,-0.91643,negative,en
1,291,1,-0.981752,negative,en
1,929,1,-0.883005,negative,en
1,843,1,-0.962106,negative,en
1,664,1,-0.977851,negative,en
1,455,1,-0.994789,negative,en
1,290,1,-0.970416,negative,en
1,321,1,-0.987696,negative,en
1,1017,1,-0.459884,negative,en
1,517,1,-0.999347,negative,en
1,155,1,-0.926943,negative,en
1,251,1,-0.930731,negative,en
1,304,1,-0.999511,negative,en
1,228,1,-0.99963,negative,en
1,111,1,0.881963,positive,en
1,130,1,-0.95146,negative,en
1,132,1,0.933888,positive,en
1,389,1,-0.997985,negative,en
1,101,1,0.988108,positive,en
1,193,1,-0.987574,negative,en
1,275,1,-0.99524,negative,en
1,333,1,0.97901,positive,en
1,488,1,-0.993445,negative,en
1,396,1,-0.999634,negative,en
1,139,1,0.626541,positive,en
1,84,1,-0.943837,negative,en
1,216,1,-0.61967,negative,en
1,170,1,0.998168,positive,en
1,108,1,0.682574,positive,en
1,146,1,0.465798,positive,en
1,178,1,-0.890527,negative,en
1,283,1,-0.78169,negative,en
1,168,1,0.995954,positive,en
1,555,1,-0.958283,negative,en
1,164,1,-0.978796,negative,en
1,280,1,0.342477,positive,en
1,220,1,-0.985025,negative,en
1,901,1,-0.998985,negative,en
1,352,1,-0.988259,negative,en
1,247,1,0.412528,positive,en
1,822,1,-0.983662,negative,en
1,223,1,-0.997973,negative,en
1,148,1,-0.651216,negative,en
1,220,1,-0.656967,negative,en
1,225,1,0.704468,positive,en
1,122,1,0.935884,positive,en
1,150,1,0.991142,positive,en
1,116,1,0.995998,positive,en
1,449,1,-0.928986,negative,en
1,144,1,-0.914883,negative,en
1,135,1,0.992306,positive,en
1,169,1,-0.857294,negative,en
1,370,1,-0.904233,negative,en
1,749,1,-0.370554,negative,en
1,336,1,-0.496824,negative,en
1,302,1,-0.679534,negative,en
1,118,1,-0.7625,negative,en
1,1377,1,-0.906192,negative,en
1,291,1,-0.767406,negative,en
1,472,1,-0.737544,negative,en
1,319,1,-0.355123,negative,en
1,122,1,-0.967985,negative,en
1,203,1,0.998705,positive,en
1,158,1,0.914622,positive,en
1,117,1,0.995732,positive,en
1,329,1,0.687102,positive,en
1,102,1,0.976601,positive,en
1,119,1,0.728123,positive,en
1,173,1,0.674239,positive,en
1,143,1,-0.630678,negative,en
1,174,1,-0.992014,negative,en
1,155,1,0.922655,positive,en
1,255,1,-0.960216,negative,en
1,88,1,0.987831,positive,en
1,496,1,-0.993429,negative,en
1,106,1,0.756891,positive,en
1,102,1,0.947174,positive,en
1,146,1,0.866515,positive,en
1,162,1,0.989026,positive,en
1,155,1,-0.571179,negative,en
1,113,1,0.886794,positive,en
1,236,1,0.389676,positive,en
1,74,1,-0.769063,negative,en
1,105,1,-0.399102,negative,en
1,1824,1,-0.969399,negative,en
1,284,1,-0.574141,negative,en
1,106,1,0.974177,positive,en
1,108,1,0.832577,positive,en
1,127,1,-0.681909,negative,en
1,183,1,0.974012,positive,en
1,243,1,0.71963,positive,en
1,258,1,-0.995919,negative,en
1,143,1,0.959736,positive,en
1,209,1,-0.30142,negative,en
1,96,1,0.272271,positive,en
1,193,1,-0.900998,negative,en
1,162,1,-0.747838,negative,en
1,184,1,0.984213,positive,en
1,477,1,-0.999302,negative,en
1,529,1,-0.995303,negative,en
1,317,1,0.945048,positive,en
1,163,1,0.980169,positive,en
1,107,1,0.966247,positive,en
1,205,1,0.783859,positive,en
1,194,1,-0.984099,negative,en
1,173,1,-0.868796,negative,en
1,203,1,0.690822,positive,en
1,308,1,0.881282,positive,en
1,124,1,-0.434348,negative,en
1,116,1,-0.960207,negative,en
1,526,1,0.698877,positive,en
1,216,1,0.706154,positive,en
1,238,1,-0.99815,negative,en
1,249,1,-0.942346,negative,en
1,268,1,0.382153,positive,en
1,119,1,-0.989797,negative,en
1,404,1,-0.900148,negative,en
1,86,1,0.962268,positive,en
1,327,1,-0.995016,negative,en
1,1780,1,-0.741719,negative,en
1,310,1,-0.52259,negative,en
1,108,1,-0.519646,negative,en
1,851,1,0.462783,positive,en
1,159,1,-0.985182,negative,en
1,104,1,0.986679,positive,en
1,114,1,0.978898,positive,en
1,112,1,-0.941201,negative,en
1,267,1,-0.957045,negative,en
1,291,1,-0.989937,negative,en
1,143,1,-0.888458,negative,en
1,224,1,0.971347,positive,en
1,331,1,-0.782417,negative,en
1,253,1,-0.910706,negative,en
1,140,1,-0.346682,negative,en
1,270,1,0.62054,positive,en
1,105,1,-0.723151,negative,en
1,113,1,0.670372,positive,en
1,122,1,0.823385,positive,en
1,115,1,0.993603,positive,en
1,146,1,-0.956705,negative,en
1,168,1,-0.701857,negative,en
1,245,1,-0.999192,negative,en
1,708,1,-0.526356,negative,en
1,267,1,-0.995796,negative,en
1,502,1,-0.975909,negative,en
1,339,1,-0.999396,negative,en
1,370,1,-0.976554,negative,en
1,588,1,-0.974683,negative,en
1,693,1,-0.995943,negative,en
1,700,1,-0.968135,negative,en
1,402,1,-0.988741,negative,en
1,150,1,-0.994378,negative,en
1,295,1,-0.991536,negative,en
1,749,1,-0.991706,negative,en
1,1305,1,-0.88888,negative,en
1,1794,1,-0.995261,negative,en
1,379,1,-0.999089,negative,en
1,287,1,-0.977927,negative,en
1,322,1,-0.577657,negative,en
1,441,1,-0.930091,negative,en
1,1384,1,-0.956067,negative,en
1,450,1,-0.99931,negative,en
1,570,1,-0.983328,negative,en
1,740,1,-0.787876,negative,en
1,247,1,-0.96549,negative,en
1,867,1,-0.922365,negative,en
1,365,1,-0.999056,negative,en
1,572,1,-0.920299,negative,en
1,140,1,-0.959779,negative,en
1,759,1,-0.9986,negative,en
1,817,1,-0.995954,negative,en
1,786,1,-0.960102,negative,en
1,489,1,-0.972823,negative,en
1,168,1,-0.976142,negative,en
1,38,1,-0.953791,negative,en
1,475,1,-0.987091,negative,en
1,169,1,-0.992844,negative,en
1,809,1,-0.824298,negative,en
1,318,1,-0.982918,negative,en
1,371,1,-0.987269,negative,en
1,739,1,-0.999347,negative,en
1,1082,1,-0.92993,negative,en
1,1298,1,-0.99448,negative,en
1,275,1,-0.9568,negative,en
1,172,1,-0.997258,negative,en
1,467,1,-0.997404,negative,en
1,205,1,-0.992225,negative,en
1,1091,1,-0.972172,negative,en
1,181,1,-0.987916,negative,en
1,1272,1,-0.963055,negative,en
1,268,1,0.785562,positive,en
1,392,1,-0.999022,negative,en
1,585,1,-0.972494,negative,en
1,406,1,-0.874632,negative,en
1,536,1,-0.955234,negative,en
1,1499,1,-0.986317,negative,en
1,508,1,-0.999303,negative,en
1,1275,1,-0.983288,negative,en
1,614,1,-0.914784,negative,en
1,374,1,-0.480629,negative,en
1,376,1,-0.99984,negative,en
1,404,1,-0.998037,negative,en
1,650,1,-0.995858,negative,en
1,929,1,0.928915,positive,en
1,167,1,-0.943417,negative,en
1,260,1,-0.99786,negative,en
1,321,1,-0.999801,negative,en
1,656,1,-0.998686,negative,en
1,3674,1,-0.848772,negative,en
1,812,1,-0.990925,negative,en
1,617,1,-0.835882,negative,en
1,219,1,-0.999052,negative,en
1,128,1,-0.935619,negative,en
1,245,1,-0.998055,negative,en
1,311,1,-0.997743,negative,en
1,1127,1,-0.951937,negative,en
1,152,1,-0.94816,negative,en
1,361,1,-0.919062,negative,en
1,129,1,-0.979117,negative,en
1,215,1,-0.974794,negative,en
1,514,1,-0.983818,negative,en
1,212,1,-0.947906,negative,en
1,213,1,-0.962871,negative,en
1,707,1,-0.924868,negative,en
1,1633,1,-0.930881,negative,en
1,325,1,-0.987108,negative,en
1,381,1,-0.964108,negative,en
1,269,1,-0.980717,negative,en
1,554,1,-0.967236,negative,en
1,516,1,-0.998599,negative,en
1,656,1,-0.993916,negative,en
1,1716,1,-0.890918,negative,en
1,420,1,-0.999121,negative,en
1,955,1,-0.606098,negative,en
1,696,1,-0.976445,negative,en
1,521,1,-0.99888,negative,en
1,279,1,-0.932664,negative,en
1,187,1,0.999196,positive,en
1,436,1,-0.895061,negative,en
1,664,1,-0.944845,negative,en
1,246,1,-0.999795,negative,en
1,350,1,-0.995052,negative,en
1,136,1,-0.995562,negative,en
1,909,1,-0.999478,negative,en
1,271,1,-0.955542,negative,en
1,558,1,-0.997607,negative,en
1,1013,1,-0.965769,negative,en
1,321,1,-0.965171,negative,en
1,223,1,-0.97704,negative,en
1,466,1,-0.993506,negative,en
1,313,1,-0.973837,negative,en
1,442,1,-0.997697,negative,en
1,319,1,0.480661,positive,en
1,327,1,-0.996826,negative,en
1,795,1,-0.998032,negative,en
1,711,1,-0.758896,negative,en
1,376,1,-0.998145,negative,en
1,1035,1,-0.991325,negative,en
1,635,1,0.508815,positive,en
1,449,1,0.603629,positive,en
1,236,1,-0.965461,negative,en
1,1064,1,-0.973208,negative,en
1,1037,1,-0.963333,negative,en
1,144,1,-0.928623,negative,en
1,430,1,-0.853457,negative,en
1,305,1,-0.999664,negative,en
1,1435,1,-0.985169,negative,en
1,336,1,-0.9984,negative,en
1,1272,1,-0.999998,negative,en
1,759,1,-0.957083,negative,en
1,1477,1,-0.953819,negative,en
1,288,1,-0.978298,negative,en
1,653,1,-0.912041,negative,en
1,430,1,-0.986631,negative,en
1,338,1,-0.99784,negative,en
1,643,1,-0.9927,negative,en
1,410,1,-0.975229,negative,en
1,1055,1,-0.885451,negative,en
1,717,1,-0.999926,negative,en
1,251,1,-0.865985,negative,en
1,889,1,-0.846092,negative,en
1,619,1,-0.93022,negative,en
1,1996,1,-0.58769,negative,en
1,693,1,-0.972906,negative,en
1,127,1,-0.987071,negative,en
1,695,1,-0.994055,negative,en
1,320,1,-0.988789,negative,en
1,770,1,-0.999748,negative,en
1,242,1,-0.998932,negative,en
1,223,1,-0.927484,negative,en
1,241,1,-0.999863,negative,en
1,496,1,-0.997519,negative,en
