usage/text_units,usage/text_characters,usage/features,sentiment/document/score,sentiment/document/label,language
1,662,1,-0.622856,negative,en
1,349,1,-0.941664,negative,en
1,90,1,0.855774,positive,en
1,295,1,-0.984387,negative,en
1,289,1,-0.339442,negative,en
1,1011,1,0.579661,positive,en
1,187,1,-0.99962,negative,en
1,1659,1,0.622191,positive,en
1,831,1,-0.363377,negative,en
1,340,1,0.843902,positive,en
1,987,1,0.550862,positive,en
1,893,1,0.876417,positive,en
1,1086,1,-0.51119,negative,en
1,607,1,-0.493531,negative,en
1,211,1,0.746659,positive,en
1,195,1,-0.988687,negative,en
1,2111,1,0.616434,positive,en
1,307,1,-0.99651,negative,en
1,1117,1,-0.952655,negative,en
1,393,1,0.685127,positive,en
1,813,1,0.374421,positive,en
1,492,1,-0.907531,negative,en
1,147,1,0.998917,positive,en
1,1126,1,-0.39547,negative,en
1,166,1,-0.989648,negative,en
1,1022,1,-0.842312,negative,en
1,562,1,0.402221,positive,en
1,1106,1,-0.786366,negative,en
1,107,1,0.508455,positive,en
1,538,1,-0.970491,negative,en
1,600,1,-0.550285,negative,en
1,277,1,-0.875137,negative,en
1,1098,1,-0.609133,negative,en
1,679,1,0.457908,positive,en
1,245,1,0.884532,positive,en
1,792,1,0.672176,positive,en
1,633,1,0.977705,positive,en
1,2763,1,0.810736,positive,en
1,83,1,-0.979143,negative,en
1,697,1,0.981257,positive,en
1,979,1,0.972637,positive,en
1,372,1,0.628165,positive,en
1,172,1,0.997974,positive,en
1,604,1,-0.773594,negative,en
1,174,1,-0.996511,negative,en
1,431,1,0.817493,positive,en
1,380,1,0.933158,positive,en
1,1757,1,-0.760919,negative,en
1,1567,1,0.827458,positive,en
1,715,1,-0.886724,negative,en
1,255,1,-0.799403,negative,en
1,1694,1,-0.440385,negative,en
1,207,1,0.927548,positive,en
1,112,1,0.959487,positive,en
1,254,1,-0.655121,negative,en
1,835,1,0.999725,positive,en
1,390,1,0.925842,positive,en
1,545,1,-0.916362,negative,en
1,813,1,-0.457098,negative,en
1,242,1,0.713177,positive,en
1,1261,1,-0.446454,negative,en
1,195,1,0.489173,positive,en
1,458,1,-0.725377,negative,en
1,545,1,-0.964741,negative,en
1,391,1,0.895911,positive,en
1,171,1,0.920783,positive,en
1,182,1,0.7877,positive,en
1,232,1,-0.424072,negative,en
1,254,1,-0.561681,negative,en
1,62,1,0.928116,positive,en
1,360,1,0.609957,positive,en
1,207,1,-0.781155,negative,en
1,1005,1,-0.588893,negative,en
1,266,1,-0.800561,negative,en
1,775,1,-0.753646,negative,en
1,182,1,0.999525,positive,en
1,237,1,0.997064,positive,en
1,463,1,0.995971,positive,en
1,178,1,-0.971766,negative,en
1,120,1,-0.715655,negative,en
1,1595,1,-0.480538,negative,en
1,324,1,0.65684,positive,en
1,814,1,-0.402881,negative,en
1,1298,1,-0.611272,negative,en
1,165,1,-0.995701,negative,en
1,382,1,-0.995999,negative,en
1,537,1,-0.411857,negative,en
1,257,1,0.45286,positive,en
1,586,1,0.519815,positive,en
1,187,1,0.801936,positive,en
1,451,1,0.706513,positive,en
1,53,1,0.995103,positive,en
1,1147,1,-0.712499,negative,en
1,29,1,0.476678,positive,en
1,1651,1,-0.837133,negative,en
1,743,1,-0.501442,negative,en
1,462,1,-0.892955,negative,en
1,257,1,0.988942,positive,en
1,348,1,0.655658,positive,en
1,448,1,0.976682,positive,en
1,678,1,0.886654,positive,en
1,138,1,0.992681,positive,en
1,438,1,0.816044,positive,en
1,438,1,-0.811828,negative,en
1,161,1,-0.473991,negative,en
1,811,1,0.507139,positive,en
1,856,1,-0.381363,negative,en
1,746,1,-0.916922,negative,en
1,1124,1,-0.587143,negative,en
1,405,1,-0.942952,negative,en
1,869,1,-0.768461,negative,en
1,559,1,-0.826619,negative,en
1,1898,1,0.70034,positive,en
1,427,1,-0.950351,negative,en
1,399,1,0.559453,positive,en
1,1086,1,-0.793778,negative,en
1,1615,1,-0.582225,negative,en
1,1103,1,-0.834549,negative,en
1,384,1,0.999435,positive,en
1,538,1,0.697557,positive,en
1,424,1,0.635842,positive,en
1,245,1,-0.993709,negative,en
1,275,1,0.997976,positive,en
1,667,1,0.961716,positive,en
1,564,1,-0.331802,negative,en
1,945,1,0.513531,positive,en
1,1315,1,0.682854,positive,en
1,536,1,-0.787295,negative,en
1,1298,1,0.589329,positive,en
1,855,1,-0.405293,negative,en
1,812,1,-0.515107,negative,en
1,387,1,0.999363,positive,en
1,688,1,-0.405809,negative,en
1,494,1,-0.85884,negative,en
1,195,1,0.999896,positive,en
1,323,1,-0.98656,negative,en
1,442,1,-0.890929,negative,en
1,291,1,0.432132,positive,en
1,1475,1,0.832996,positive,en
1,589,1,0.684461,positive,en
1,293,1,-0.486181,negative,en
1,228,1,0.945544,positive,en
1,451,1,0.99988,positive,en
1,402,1,0.868639,positive,en
1,301,1,0.997514,positive,en
1,736,1,0.595832,positive,en
1,220,1,-0.84988,negative,en
1,423,1,-0.834836,negative,en
1,411,1,-0.949433,negative,en
1,113,1,0.984922,positive,en
1,1807,1,0.661774,positive,en
1,853,1,0.94261,positive,en
1,233,1,0.997782,positive,en
1,2209,1,0.307367,positive,en
1,290,1,0.409345,positive,en
1,2173,1,-0.347408,negative,en
1,153,1,-0.998763,negative,en
1,914,1,0.381425,positive,en
1,279,1,0.999906,positive,en
1,171,1,0.994281,positive,en
1,780,1,0.908728,positive,en
1,672,1,-0.410051,negative,en
1,413,1,-0.568153,negative,en
1,228,1,0.409147,positive,en
1,111,1,0.983695,positive,en
1,134,1,-0.431558,negative,en
1,1133,1,-0.674394,negative,en
1,232,1,0.947521,positive,en
1,411,1,-0.874382,negative,en
1,411,1,0.760534,positive,en
1,122,1,0.984729,positive,en
1,1678,1,0.620566,positive,en
1,104,1,0.617487,positive,en
1,346,1,-0.858065,negative,en
1,597,1,0.309647,positive,en
1,258,1,0.822292,positive,en
1,443,1,-0.648329,negative,en
1,335,1,0.999006,positive,en
1,1167,1,-0.781009,negative,en
1,609,1,0.875869,positive,en
1,238,1,0.811021,positive,en
1,437,1,-0.614733,negative,en
1,474,1,0.516713,positive,en
1,137,1,0.973011,positive,en
1,275,1,0.637543,positive,en
1,186,1,-0.740531,negative,en
1,269,1,-0.962945,negative,en
1,140,1,0.95829,positive,en
1,957,1,-0.964251,negative,en
1,621,1,-0.317702,negative,en
1,1207,1,0.866757,positive,en
1,200,1,0.978439,positive,en
1,536,1,0.923994,positive,en
1,383,1,-0.909415,negative,en
1,425,1,-0.915602,negative,en
1,1020,1,0.329983,positive,en
1,1213,1,0.478425,positive,en
1,180,1,0.97962,positive,en
1,486,1,0.587877,positive,en
1,341,1,-0.873996,negative,en
1,486,1,0.983493,positive,en
1,740,1,-0.785089,negative,en
1,1219,1,-0.811259,negative,en
1,2189,1,0.288757,positive,en
1,268,1,0.774431,positive,en
1,176,1,-0.928475,negative,en
1,889,1,-0.495175,negative,en
1,356,1,0.641805,positive,en
1,419,1,0.696292,positive,en
1,724,1,0.517638,positive,en
