Review_new	Positive	Negative
wow loved this place.	5	-1
crust is not good.	1	-2
not tasty and the texture was just nasty.	1	-2
stopped by during the late may bank holiday off rick steve recommendation and loved it.	4	-1
the selection on the menu was great and so were the prices.	3	-1
now i am getting angry and i want my damn pho.	1	-4
honeslty it didnt taste that fresh.	1	-1
the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	2	-1
the fries were great too.	3	-1
a great touch.	3	-1
service was very prompt.	1	-1
would not go back.	1	-1
the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced.	2	-1
i tried the cape cod ravoli chicken with cranberrymmmm.	2	-1
i was disgusted because i was pretty sure that was human hair.	3	-4
i was shocked because no signs indicate cash only.	1	-3
highly recommended.	1	-1
waitress was a little slow in service.	1	-1
this place is not worth your time let alone vegas.	1	-1
did not like at all.	1	-2
the burrittos blah.	1	-2
the food amazing.	3	-1
service is also cute.	2	-1
i could care less the interior is just beautiful.	2	-1
so they performed.	1	-1
thats rightthe red velvet cakeohhh this stuff is so good.	2	-1
 they never brought a salad we asked for.	1	-1
this hole in the wall has great mexican street tacos and friendly staff.	3	-1
took an hour to get our food only  tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed.	2	-4
the worst was the salmon sashimi.	1	-3
also there are combos like a burger fries and beer for  which is a decent deal.	2	-1
this was like the final blow.	2	-1
i found this place by accident and i could not be happier.	1	-3
seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere.	2	-2
overall i like this place a lot.	2	-1
the only redeeming quality of the restaurant was that it was very inexpensive.	1	-1
ample portions and good prices.	2	-1
poor service the waiter made me feel like i was stupid every time he came to the table.	2	-2
my first visit to hiro was a delight.	3	-1
service sucks.	1	-2
the shrimp tender and moist.	3	-1
there is not a deal good enough that would drag me into that establishment again.	2	-1
hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick.	2	-4
on a positive note our server was very attentive and provided great service.	3	-1
frozen pucks of disgust with some of the worst people behind the register.	1	-4
the only thing i did like was the prime rib and dessert section.	1	-1
its too bad the food is so damn generic.	1	-2
the burger is good beef cooked just right.	2	-1
if you want a sandwich just go to any firehouse.	1	-1
my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing.	1	-1
we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.	3	-1
he came running after us when he realized my husband had left his sunglasses on the table.	1	-1
their chow mein is so good.	2	-1
they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food.	1	-4
the portion was huge.	1	-1
loved itfriendly servers great food wonderful and imaginative menu.	4	-1
the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant.	1	-3
not much seafood and like  strings of pasta at the bottom.	2	-1
the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked.	2	-1
the ripped banana was not only ripped but petrified and tasteless.	1	-4
at least think to refill my water before i struggle to wave you over for  minutes.	1	-2
this place receives stars for their appetizers.	1	-1
the cocktails are all handmade and delicious.	3	-1
wed definitely go back here again.	1	-1
we are so glad we found this place.	2	-1
great food and service huge portions and they give a military discount.	3	-1
always a great time at dos gringos.	3	-1
updatewent back for a second time and it was still just as amazing.	3	-1
we got the food and apparently they have never heard of salt and the batter on the fish was chewy.	1	-1
a great way to finish a great.	3	-1
the deal included  tastings and  drinks and jeff went above and beyond what we expected.	1	-1
