Polarity,Review,Polarity_result,Positive_result,Negative_result
1,wow loved this place,pos,0.538861471083953,0.4611385289160466
-1,crust is not good,pos,0.5926172186235944,0.4073827813764049
-1,not tasty and the texture was just nasty,pos,0.5992805769943443,0.40071942300565533
1,stopped by during the late may bank holiday off rick steve recommendation and loved it,neg,0.30462896305273496,0.6953710369472635
1,the selection on the menu was great and so were the prices,pos,0.5890139598687055,0.4109860401312945
-1,now i am getting angry and i want my damn pho,neg,0.4445936839898637,0.5554063160101366
-1,honeslty it didnt taste that fresh,pos,0.5625100470079729,0.4374899529920274
-1,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,neg,0.03708194610239953,0.9629180538976001
1,the fries were great too,neg,0.34786863933977097,0.652131360660229
1,a great touch,pos,0.6891042816569317,0.31089571834306856
1,service was very prompt,pos,0.8605290027702907,0.13947099722970854
-1,would not go back,pos,0.5040793240084136,0.49592067599158635
-1,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,neg,0.2841029269917258,0.7158970730082724
1,i tried the cape cod ravoli chicken with cranberrymmmm,neg,0.06859104787771174,0.9314089521222882
-1,i was disgusted because i was pretty sure that was human hair,pos,0.6520356459712076,0.3479643540287922
-1,i was shocked because no signs indicate cash only,neg,0.42039004306107947,0.5796099569389207
1,highly recommended,pos,0.82351904090268,0.17648095909732006
-1,waitress was a little slow in service,pos,0.6467741162835422,0.3532258837164571
-1,this place is not worth your time let alone vegas,neg,0.4936297279481134,0.5063702720518863
-1,did not like at all,neg,0.45632430693130466,0.5436756930686952
-1,the burrittos blah,neg,0.3502275341301197,0.6497724658698804
1,the food amazing,pos,0.62694624311303,0.37305375688696935
1,service is also cute,pos,0.5791672763103148,0.42083272368968544
1,i could care less the interior is just beautiful,pos,0.5621625784681046,0.4378374215318954
1,so they performed,pos,0.7955754566412487,0.20442454335875154
1,thats rightthe red velvet cakeohhh this stuff is so good,neg,0.394522111509744,0.6054778884902555
-1, they never brought a salad we asked for,pos,0.7940175241467815,0.2059824758532195
