Polarity,Review,Polarity_result
1,contrary to other reviews i have zero complaints about the service or the prices i have been getting tire service here for the past  years now and compared to my experience with places like pep boys these guys are experienced and know what theyre doing  also this is one place that i do not feel like i am being taken advantage of just because of my gender other auto mechanics have been notorious for capitalizing on my ignorance of cars and have sucked my bank account dry but here my service and road coverage has all been well explained  and let up to me to decide  and they just renovated the waiting room it looks a lot better than it did in previous years,"{'neg': 0.068, 'neu': 0.859, 'pos': 0.073, 'compound': 0.3909}"
-1,last summer i had an appointment to get new tires and had to wait a super long time i also went in this week for them to fix a minor problem with a tire they put on they fixed it for free and the very next morning i had the same issue i called to complain and the manager didnt even apologize so frustrated never going back  they seem overpriced too,"{'neg': 0.131, 'neu': 0.783, 'pos': 0.087, 'compound': -0.3944}"
1,friendly staff same starbucks fair you get anywhere else  sometimes the lines can get long,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.6705}"
-1,the food is good unfortunately the service is very hit or miss the main issue seems to be with the kitchen the waiters and waitresses are often very apologetic for the long waits and its pretty obvious that some of them avoid the tables after taking the initial order to avoid hearing complaints,"{'neg': 0.179, 'neu': 0.725, 'pos': 0.096, 'compound': -0.5046}"
1,even when we didnt have a car filenes basement was worth the bus trip to the waterfront i always find something usually i find  things and spend about  and better still i am always still wearing the clothes and shoes  months later   i kind of suspect this is the best shopping in pittsburg,"{'neg': 0.041, 'neu': 0.81, 'pos': 0.149, 'compound': 0.7584}"
1,picture billy joels piano man doubled mixed with beer a rowdy crowd and comedy  welcome to sing sing  a unique musical experience found in homestead  if youre looking to grab a bite to eat or a beer come on in  serving food and brews from rock bottom brewery sing sing keeps your tummy full while you listen to two or more amazingly talented pianists take your musical requests  theyll play anything youd like for tips of course  wanting to hear britney spears  toto  duran duran  yep they play that new or old  the crowd makes the show so make sure you come ready for a good time  if the crowd is dead its harder for the guys to get a reaction  if youre wanting to have some fun it can be a great time  its the perfect place for birthday parties  especially if you want to embarrass a friend  the guys will bring them up to the pianos and perform a little ditty  for being a good sport you get the coveted sing sing bumper sticker  now who wouldnt want that  dueling pianos and brews time to shut up  sing sing,"{'neg': 0.034, 'neu': 0.753, 'pos': 0.213, 'compound': 0.9896}"
-1,mediocre service cold food our food waited so long the lettuce  pickles wilted bland food crazy overpriced long waits in the arcade  beer per hour maximum  avoid at all costs fair manager,"{'neg': 0.128, 'neu': 0.808, 'pos': 0.064, 'compound': -0.3182}"
-1,ok let me tell you about my bad experience first i went to db last night for a post wedding party  which side note is a great idea  it was around midnight and the bar wasnt really populated there were three bartenders and only one was actually making rounds to see if anyone needed anything the two other bartenders were chatting on the far side of the bar that no one was sitting at kind of counter productive if you ask me   i stood there for about  minutes which for a busy bar is fine but when i am the only one with my card out then it just seems a little ridiculous i made eye contact with the one girl twice and gave her a smile and she literally turned away i finally had to walk to them to get their attention  i was standing right in front of them smiling and they didnt ask if i need anything i finally said are you working and they gave each other a weird look i felt like i was the crazy one i asked for a beergot the beer  in between that time the other bartender brought food over and set it down she took a fry from the plate right in front of me and then served it to someone on the other side of the bar what the hell i felt like i was in some grimy bar in out in the sticks  not an established db   i was just really turned off from that experience   the good is that db provides a different type of entertainment when you want to mix things up i remember going here with my grandparents when i was a kid and it was the best treat ever we would eat at the restaurant and then spend hours playing games this place holds some really good memories for me   its a shame that my experience last night has spoiled the high standards i held for it,"{'neg': 0.068, 'neu': 0.811, 'pos': 0.12, 'compound': 0.9579}"
-1,i used to love db when it first opened in the waterfront but it has gone down hill over the years the games are not as fun and do not give you as many tickets and the prizes have gotten cheaper in quality it takes a whole heck of a lot of tickets for you to even get a pencil the atmosphere is okay but it used to be so much better with the funnest games and diverse groups of people now it is run down and many of the games are app related games fruit ninja and d experience rides with such games you cant even earn tickets and they take a lot of tokens last time i went back in the winter many of the games were broken which made for a negative player experience i would go to db to play some games again in the future but it is no longer one of my favorite places to go due to the decline of fun games where you can earn tickets,"{'neg': 0.075, 'neu': 0.78, 'pos': 0.145, 'compound': 0.9389}"
1,like any barnes  noble it has a nice comfy cafe and a large selection of books  the staff is very friendly and helpful  they stock a decent selection and the prices are pretty reasonable  obviously its hard for them to compete with amazon  however since all the small shop bookstores are gone its nice to walk into one every once in a while,"{'neg': 0.018, 'neu': 0.693, 'pos': 0.289, 'compound': 0.9646}"
-1,meh ive experienced better is an understatement  fridays is like the fine dining chain for every yinzer in pittsburgh    when we were seated it was quick which was a surprise  somehow this restaurant gets packed and i never understand why  i was happy about that   i ordered one of their skinny margaritas blackberry to be exact  it was a nice size however at pop that was half of my food bill   the waitress started off attentive but after our food came out she was gone  i ordered a turkey burger with pickle and mustard  loaded mashed potato on the side because i wanted heartburn ha   food came  my burger had lettuce on it only  waitress was supposed to go and get our next round of drinks  i had to wait to ask for my pickle   the loaded potatoes were more like rubber than potatoes and not what i was expecting  disappointment   the waitress then went into oblivion and only returned with our check    never again will i eat at fridays  i will however go should a happy hour arise,"{'neg': 0.029, 'neu': 0.856, 'pos': 0.116, 'compound': 0.9342}"
