Polarity,Review
1,first think another disney movie might good it s kids movie watch it can not help enjoy it ages love movie first saw movie years later still love it danny glover superb could play part better christopher lloyd hilarious perfect part tony danza believable mel clark can not help enjoy movie give
-1,put aside dr house repeat missed desperate housewives new watch one do not know exactly plagued movie never thought i d say this want minutes fame back script direction can not say recognized stable actors the usual suspects thought herbert marshall class addition sat good cheesy flick boy wrong dullsville my favorite parts office girl makes keypunch puts cards sorter lol the computer i d like someone identify next device it s even dinosaur s time and dinosaurs do not much time waste
1,big fan stephen king s work film made even greater fan king pet sematary creed family moved new house seem happy pet cemetery behind house creed s new neighbor jud played fred gwyne explains burial ground behind pet cemetery burial ground pure evil jud tells louis creed bury human or kind pet burial ground would come back life problem come back person they re evil soon jud explains everything pet sematary everything starts go hell wont explain anymore do not want give away main parts film acting pet sematary pretty good needed little bit work story one main parts movie mainly original gripping film features lots make up effects make movie way eerie frightening one basic reasons movie sent chills back fact make up effects one character film truly freaky character zelda particular character pops film three times precise zelda rachel creed s sister passed away years before rachel still haunted her first time zelda appears movie is not generally scary is not talking anything second time worst honest second time scares living me absolutely nothing wrong movie almost perfect pet sematary delivers great scares pretty good acting first rate plot mesmerizing make up truly one favorite horror films time
-1,watched horrid thing tv needless say one movies watch see much worse get frankly do not know much lower bar go the characters composed one lame stereo type another obvious attempt creating another bad news bears embarrassing say least i seen prized turkeys time reason list since numero uno let put way watched vanilla ice movie bad funny this this is even good
1,truly enjoyed film acting terrific plot jeff combs talent recognized for part flick would change ending death creature far gruesome sci fi channel there interesting religious messages film jeff combs obviously played messiah figure creature or shark prefer represented anti chirst particularly frightening scenes end world feel noticed third viewing classic creature feature know many people will not get references christianity watch close you ll get it
1,memory the last hunt stuck since saw movie far ahead others time addressed treatment natives environment ever present contrast short long term effects greed relevant today cinemagraphic discussion utmost depth relevance top setting beautiful cinematography excellent memory movie end days
-1,shakespeare fan appreciate ken branagh done bring shakespeare back new generation viewers however movie falls short conveying overall intentions play ridiculous musical sequences add alicia silverstone s stumbling dialogue reminiscent keanu reeves much ado nothing poorly cast roles equals excruciating endurance viewing
1,privilege watching scarface big screen beautifully restored mm print honor th anniversary films release great see big screen much lost television sets overall largesse project cannot emphasized enough scarface remake classic rags riches depths hell story featuring al pacino cuban drug lord tony montana version tony comes america cuban boat people immigration wave late s early s tony cohorts quickly get green cards offing political figure tent city brief stay cuban restaurant tony launched horrific path towards total destruction many characters movie played skilled manner enjoyable watch forgot little film last twenty years robert loggia tony s patron frank lopez wonderful character flawed trusting tony quickly figures out soft lopez s right hand omar suarez portrayed one greatest actors f murray abraham amadeus suarez ultimate toady anything frank like mind own tony quickly sees constantly battles suarez really sees minor problem get way top character always comes back played perfectly mel bernstein audaciously corrupt miami narcotics detective played harris yulin training day mel without guilt extorts great sums money form sides drug industry plays tony frank catches scene marks exit film frank mel priceless hear frank asking mel intercede tony kill hear mel reply it s tree frank you re sitting it man frank paying protection tony s rise meteoric matched speed intensity quick crash burn offing frank taking wife business tony s greed takes never seem get enough tony plunges deeper world drugs greed inability trust eventually kills best friend sister fallen love married sets ending tony s compound stormed army supplier feels betrayed tony would go political assassination ordered stems form compassionate moment tony refused accomplice murder would involved victim s wife children all great depiction s excess cocaine culture depalma nice job holding together one fastest moving three hour movies around violence extremely graphic contains scenes forever etched viewers mind particularly gruesome chainsaw seen two point blank shots head entire bloody melee ends movie highly recommended stylistically done film squeamish need upbeat endings potential sequels depalma let fly right here
1,real classic shipload sailors trying get towns daughters fathers go extremes deter sailors attempts maidens cry aid results dispatch rape squad cult film waiting happen
1,serials short subjects originally shown theaters conjunction feature film related pulp magazine serialized fiction known chapter plays extended motion pictures broken number segments called chapters episodes chapter would screened theater one week serial would end cliffhanger hero heroine would find latest perilous situation could escape the audience would return next week find hero heroine would escape battle villain again serials especially popular children many children first half th century typical saturday movies included chapter least one serial along animated cartoons newsreels two feature films the golden age serials one best era zorro seen many films reed hadley racket squad undying brain excellent role the action constant led chapter chapter ultimate end find identity evildoer zorro triumphs always does
-1,strange sex comedy there s little comedy whole lot sex takes place back car graphic makes basic instinct look like edition teletubbies kid sex film face might choke especially you re watching grandparents as rest rita sue bob there s much else worth mentioning except language every single sentence seems contain f word rather bleak hyper realist british film made time channel main investor british movies explains made television low budget feel
-1,many problems film worst continuity re editing vhs college cable channel many years ago tried figure exactly went wrong seems happened actually constructed much longer film chopped standard theatrical viewing much longer fill holes plot would require three hours narrative character development especially given fact film slow takes seriously that s staggering could halperins possibly trying accomplish here previous film white zombie successful low budget attempt duplicate early universal studios monster films the mummy dracula etc stuck pretty close zombie mythology north america would know popular magazines revolt zombies contrary appears intended allegory politics modern war would explain opening change dean jagger s character megalomaniac also explains zombies do not actually much film besides stand around look frightening wait orders they re allegorical soldiers undead cannibals we ve come love loathe zombie films i equal dislike modern war politics think film ought entertaining first later maybe educational definitely film zombies ought zombies truly one bizarre films hollywood history one recommend even historic value
-1,rosie wasted lot tv time talking tainos super influential dynamics modern day puerto rican not truth africans spanish knows it kills standing screen looking like average light skin black chick obvious black daddy cousins auntie pretending truly acknowledge real essence makes modern day puerto ricans but barely mentioned africans influenced way spanish spoken food music typical lost lot respect support anything else does also since wants dance around african ness need take roles associated blackness i e lackawanna blues find prideful black latina next time thank zoe saldana gina torres gina ravera melissa desousa to puerto rican said african black thank you blacks certainly anything common you love lost but since probably states benefited civil rights movement would like refuse decent human treatment received courtesy blood sweat tears backs blacks share nothing with if correct puerto ricans terrible image media blacks spend time trying disrespect know media loves exploits low points behaviors minorities maintain mindless generalizations however evidently fed hype one somehow white superior you not also somehow feel compelled believe black culture bet again incorrect need take vacation hood try visiting atlanta ga houston texas charlotte n c trust none blacks want claim culture either
1,man people got chill movie artistic genius instead searching reasoning messages justify reality can not understand work fiction story entertainment god s sake no pun intended seems many people trying movie critics and they re well i m impressed movie bill paxton s job directing i m going contact personally tell him ya know were not trying analyze heck possibility story line might enjoy film friends did
1,great movie could soylent green scenes people people act think would neat see happen year beyond even still know secret great movie go rent buy movie right now
1,wonderful family drama comedy starring macclaine garr entertains warms heart every time see it strongly recommended ages year olds grannies lovely period piece capturing story encompasses struggling garr two children aunt zena macclaine trying make ends meet without man head household family heads west take inheritance long forgotten relative left garr run down ramshackle road side cafe right late s tenacious garr sweet determined mom gets whole family restoration opening cafe wait aunt zena old circus performer card tricks magic powders jesters sense humor she loves get kids silly sometimes dangerous games what happens next delightful combination miracle lords thrown together cuban missile crises with authentic tv news real event ghost prank gets totally hand film entertains philosophizes questions religiosity gives unnerving glimpse frightening scare october s cuban missile crises end one left wonder faith family rediscovered love oh music era early s great recommend strongly feel good film
