,Unnamed: 0,Polarity,Review
0,0,1,wow loved this place
1,1,-1,crust is not good
2,2,-1,not tasty and the texture was just nasty
3,3,1,stopped by during the late may bank holiday off rick steve recommendation and loved it
4,4,1,the selection on the menu was great and so were the prices
5,5,-1,now i am getting angry and i want my damn pho
6,6,-1,honeslty it didnt taste that fresh
7,7,-1,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer
8,8,1,the fries were great too
9,9,1,a great touch
10,10,1,service was very prompt
11,11,-1,would not go back
12,12,-1,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced
13,13,1,i tried the cape cod ravoli chicken with cranberrymmmm
14,14,-1,i was disgusted because i was pretty sure that was human hair
15,15,-1,i was shocked because no signs indicate cash only
16,16,1,highly recommended
17,17,-1,waitress was a little slow in service
18,18,-1,this place is not worth your time let alone vegas
19,19,-1,did not like at all
20,20,-1,the burrittos blah
21,21,1,the food amazing
22,22,1,service is also cute
23,23,1,i could care less the interior is just beautiful
24,24,1,so they performed
25,25,1,thats rightthe red velvet cakeohhh this stuff is so good
26,26,-1, they never brought a salad we asked for
27,27,1,this hole in the wall has great mexican street tacos and friendly staff
28,28,-1,took an hour to get our food only  tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed
29,29,-1,the worst was the salmon sashimi
30,30,1,also there are combos like a burger fries and beer for  which is a decent deal
31,31,-1,this was like the final blow
32,32,1,i found this place by accident and i could not be happier
33,33,-1,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere
34,34,1,overall i like this place a lot
35,35,1,the only redeeming quality of the restaurant was that it was very inexpensive
36,36,1,ample portions and good prices
37,37,-1,poor service the waiter made me feel like i was stupid every time he came to the table
38,38,1,my first visit to hiro was a delight
39,39,-1,service sucks
40,40,1,the shrimp tender and moist
41,41,-1,there is not a deal good enough that would drag me into that establishment again
42,42,-1,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick
43,43,1,on a positive note our server was very attentive and provided great service
44,44,-1,frozen pucks of disgust with some of the worst people behind the register
45,45,1,the only thing i did like was the prime rib and dessert section
46,46,-1,its too bad the food is so damn generic
47,47,1,the burger is good beef cooked just right
48,48,1,if you want a sandwich just go to any firehouse
49,49,1,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing
50,50,1,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside
51,51,1,he came running after us when he realized my husband had left his sunglasses on the table
52,52,1,their chow mein is so good
53,53,-1,they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food
54,54,1,the portion was huge
55,55,1,loved itfriendly servers great food wonderful and imaginative menu
56,56,-1,the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant
57,57,-1,not much seafood and like  strings of pasta at the bottom
58,58,1,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked
59,59,-1,the ripped banana was not only ripped but petrified and tasteless
60,60,-1,at least think to refill my water before i struggle to wave you over for  minutes
61,61,1,this place receives stars for their appetizers
62,62,1,the cocktails are all handmade and delicious
63,63,1,wed definitely go back here again
64,64,1,we are so glad we found this place
65,65,1,great food and service huge portions and they give a military discount
66,66,1,always a great time at dos gringos
67,67,1,updatewent back for a second time and it was still just as amazing
68,68,-1,we got the food and apparently they have never heard of salt and the batter on the fish was chewy
69,69,1,a great way to finish a great
70,70,1,the deal included  tastings and  drinks and jeff went above and beyond what we expected
71,71,1, really really good rice all the time
72,72,-1,the service was meh
