,Unnamed: 0,Polarity,Review
0,0,-1,i completed running new york marathon requested uber pool ride back hotel first let tell started right the driver agreed pick drop locations via app i called spoke driver let know pick location actually blocked due marathon agreed another pickup location block away race road block before i picked i got notification another rider joining part ride i picked driver spoken agreed upon location shortly passenger picked dropped now went wrong moments continuing destination i got notification via app phone ride asked driver going claimed gee i i another passenger pick ride need get still confused i asked still far agreed upon destination this time clearly played dumb saying understand uber app works i get in middle street strange location even anywhere wanting argue clear new ride request another clearly lucrative wanting continue ride jerk i peacefully exited car i stood front private residence shivering cold degree rainy weather dark completed running mile marathon wanting nothing safe ride back hotel seek much needed rest warmth safety no sooner i exited car driver already scrawling new fare name piece paper standing outside car street meet new fare even inkling conscientiousness done and driver still nerve charge partial fare not excited using uber app street taxis coming another apps installed lyft i requested new ride i connected shortly another driver minutes away minutes long amount time warm safe dressed running clothes weary expecting safe warm car i stranded street pace alone wait driver also main street traffic heavy due marathon rode closures minute wait able get realistic to eternal happiness arrived within minutes delivered safely nicely next day finding way file complaint uber via app i sent complaint within couple hours replied wet blanket apology inconvenience offered credit i charged to make even worse uber credited towards another driver one taken day i wrote back corrected harm previous day good driver reputation take well earned pay preserve good relationships good uber drivers i rode wrote back full credit better certainly enough make dangerous situation driver put mention discipline driver i told uber i never use use lyft although many many uber experiences past years i one bad apple ruined uber forever
1,1,-1,my appointment time auto repairs required early available mechanic begin work the uber app easily installed mobile device followed required information filled onto blanks when typing phone number gave order check sms texts confirmation code used along number no text sent first try more tries texts give four hours later texts codes sent two attempts unsuccessful emailing uber headquarters san francisco included lively suggestions as follows i suggest someone unclog ride summoning impacted website rectum swallowing online laxative followed readily available fleets enema must wait weeks repairs done shop that means safety concerns drive when using uber months past things went far better problem cleared pronto apologetic courteous driver what letdown go round if world greatest ability dependability public service companies aware learning important aspect business world this incident second kind problem still fix then unlike i made contact home base treated rudely great disrespect perhaps reply better forthcoming i least choice codes might need one request service hours ahead needed uber folks oughta uncrimp contained app google store
2,2,-1,whether i using uber ride service uber eats ordering food service terrible out times ordering food uber eats times food forgotten every time i requested refund missing item recently told refrain type behaviour told restricting account not sure i punished drivers checking food prior delivery recently traveling i ordered uber place i staying i notified driver tricky place find even provided extremely specific instructions i attempted contact driver numerous times response the driver cancelled trip i charged cancellation fee i guess moral story company makes consumer pay employees mistakes please refrain using service possible i know i finding alternatives
3,3,-1,why hard understand i trying retrieve uber cab email different phone number if say security recognize phone number security system because therefore good security system link original number new number account recognize so stop rejecting new number what think i want everyone calling private personal number do respond fixed problems or it tell people to shut the up and i tried send let go pass why i put amount stars serviced zero amount stars
4,4,-1,i south beach fl i staying major hotel ordered uber the driver find ridiculous i waiting front hotel located main drag sobe he hung charged i disputed charge i credit account uber available i live the last time i ordered car south beach driver hardly spoke english find tj maxx my advice use uber florida
5,5,-1,i damage vehicle due uber driver upstairs neighbor used the trim rear wheel well broke the driver leave note he kept calling neighbor now answer phone ca get number uber locate driver
6,6,-1,i use uber fairly frequently overall good service amazing drivers you call only go steps send messages i want call i issue frustrating however two things happened short time make wary using uber future might go back taking first leave us feeling good uber let go my brother called uber pick us beach the uber driver arrived uber lyft sign window we get good feeling outset he dropped us home arranged he accepted cash tip tip uber app later uber retroactively charged brothers card driver reported gotten sand floor mats he picked us beach my brother contacted uber said even though ridiculous first place charge line criteria website they refused refund anything today i see email uber inbox you rode dario miles trip time car uberx following message adjustment care due different drop locations ricardo whoever previous charge charged personal new total plus i thought driver good generous tipper general i also gave tip expensive mile ride i ever taken you speak human i get email confirmation dispute even received i heard zero back this beyond horrifying after writing even upset
7,7,-1,last night i returned home airport using uber shared ride the person paid vs first stop residence farther away airport place needless say i happy i heard fare percent uber says dynamic pricing issue partial refund and company burning cash billion year turmoil executive ranks one think company might sensitive algorithms used uber suspect i live city contracted uber provide local transportation free charge using city vehicle it took minutes arrive destination normally takes minutes picking people along i shared experience city aware uber shortcomings plan address company needless say uber struggling pool algorithms chosen work customers inequities surface uber lost loyal customer
8,8,-1,do lose anything uber otherwise experience nightmare getting recognize my friend ride set however end trip i got dropped leaving wallet black leather seats black wallet night anyhow friend needed provide verification account problem except around emails days later accept email address account provided signing phone number calling used ride it uselessness forwarding info even confirming accounts it mind boggling messages getting back recognizing content info used ride not sure tech support terms usability i letting charge fee returned item say least we threatening police point apparently driver something uber slowing whole process increasing frustration
9,9,-1,my last experiences uber made use taxis turned preferable uber two weeks ago called uber driver speak understand english i immediately got still charged tuesday october i requested uber take midway airport when i received notification driver arrived i called since i already waiting outside he informed lombard and i place i always picked chicago guess i lyft
